combined_name,group_id,artifact_id,cve_id,severity,start_version,end_version,patched_version,latest_version,start_version_timestamp,end_version_timestamp,patched_version_timestamp,cve_publish_date,cve_patched,cve_duration,api_id,api_aliases,github_url,github_api_url,github_owner,github_repo
com.adobe.acs:acs-aem-commons,com.adobe.acs,acs-aem-commons,CVE-2022-28820,MODERATE,4.6.0,5.1.2,5.2.0,6.6.4,1588346130000,1642783422000,1646318343000,2022-04-26T12:59:00Z,True,-4659597000,GHSA-w5m2-299g-rff5,CVE-2022-28820,https://github.com/Adobe-Consulting-Services/acs-aem-commons/tree/master,https://api.github.com/repos/Adobe-Consulting-Services/acs-aem-commons,Adobe-Consulting-Services,acs-aem-commons
com.adobe.cq:core.wcm.components.core,com.adobe.cq,core.wcm.components.core,CVE-2022-35697,MODERATE,2.2.0,2.20.6,2.20.8,2.26.0,1542894911000,1657200564000,1659616052000,2022-08-11T15:57:01Z,True,-617369000,GHSA-qcgc-6q86-7x2p,CVE-2022-35697,https://github.com/Adobe-Marketing-Cloud/aem-core-wcm-components/tree/master/bundles/core,https://api.github.com/repos/Adobe-Marketing-Cloud/aem-core-wcm-components,Adobe-Marketing-Cloud,aem-core-wcm-components
com.alipay.sofa:hessian,com.alipay.sofa,hessian,CVE-2019-9212,CRITICAL,3.3.0,3.3.5,3.3.6,3.5.4,1523246452000,1546498147000,1547001073000,2019-03-06T17:36:08Z,True,-4892695000,GHSA-pfwp-8pq4-g7pv,CVE-2019-9212,http://github.com/alipay/sofa-hessian/tree/master,https://api.github.com/repos/alipay/sofa-hessian,alipay,sofa-hessian
com.alipay.sofa:hessian,com.alipay.sofa,hessian,CVE-2024-46983,HIGH,3.3.0,3.5.4,4.0.0,3.5.4,1523246452000,1724036278000,1543991101000,2024-09-19T14:49:20Z,False,-182766259000,GHSA-c459-2m73-67hj,CVE-2024-46983,http://github.com/alipay/sofa-hessian/tree/master,https://api.github.com/repos/alipay/sofa-hessian,alipay,sofa-hessian
com.amazonaws:aws-encryption-sdk-java,com.amazonaws,aws-encryption-sdk-java,CVE-2024-23680,MODERATE,0.0.1,2.0.0,1.9.0,3.0.1,1475613811000,1600998454000,1622138605000,2021-06-01T21:17:36Z,True,-443651000,GHSA-55xh-53m6-936r,"CVE-2024-23680, GHSA-gvc7-gjrw-hj65",https://github.com/awslabs/aws-encryption-sdk-java.git,https://api.github.com/repos/awslabs/aws-encryption-sdk-java,awslabs,aws-encryption-sdk-java
com.amazonaws:aws-encryption-sdk-java,com.amazonaws,aws-encryption-sdk-java,CVE-2020-8897,HIGH,0.0.1,1.9.2,2.0.0,3.0.1,1475613811000,1661885054000,1600998454000,2021-10-12T16:01:12Z,True,-33056018000,GHSA-wqgp-vphw-hphf,"CVE-2020-8897, PYSEC-2020-261",https://github.com/awslabs/aws-encryption-sdk-java.git,https://api.github.com/repos/awslabs/aws-encryption-sdk-java,awslabs,aws-encryption-sdk-java
com.aerospike:aerospike-client,com.aerospike,aerospike-client,CVE-2023-36480,CRITICAL,3.0.22,6.1.11,7.0.0,7.2.2,1392142253000,1687383024000,1691014732000,2023-08-03T19:45:39Z,True,-77207000,GHSA-jj95-55cr-9597,CVE-2023-36480,https://github.com/aerospike/aerospike-client-java,https://api.github.com/repos/aerospike/aerospike-client-java,aerospike,aerospike-client-java
com.amazon.ion:ion-java,com.amazon.ion,ion-java,CVE-2024-21634,HIGH,1.4.0,1.10.4,1.10.5,1.11.9,1555023767000,1694730813000,1695249424000,2024-01-03T22:04:08Z,True,-9070024000,GHSA-264p-99wq-f4j6,CVE-2024-21634,git@github.com:amzn/ion-java.git,,,
com.alibaba:fastjson,com.alibaba,fastjson,CVE-2017-18349,CRITICAL,1.1.15,1.1.70.android_noneautotype,1.2.31,2.0.52,1328600407000,1704761669000,1491205855000,2018-10-24T19:42:03Z,True,-49204268000,GHSA-xjrr-xv9m-4pw5,CVE-2017-18349,https://wenshao@github.com/AlibabaTech/fastjson.git,,,
com.alibaba:fastjson,com.alibaba,fastjson,CVE-2022-25845,HIGH,1.2.25,1.2.67_noneautotype2,1.1.41.sec01,2.0.52,1489118569000,1663549590000,1489119103000,2022-06-11T00:00:17Z,True,-165786514000,GHSA-pv7h-hx5h-mgfj,CVE-2022-25845,https://github.com/alibaba/fastjson,https://api.github.com/repos/alibaba/fastjson,alibaba,fastjson
com.amazonaws:aws-java-sdk-s3,com.amazonaws,aws-java-sdk-s3,CVE-2022-31159,HIGH,1.9.0,1.12.260,1.12.261,1.12.770,1412794015000,1657753183000,1657830720000,2022-07-15T20:44:55Z,True,-87175000,GHSA-c28r-hw5m-5gv3,CVE-2022-31159,https://github.com/aws/aws-sdk-java.git,https://api.github.com/repos/aws/aws-sdk-java,aws,aws-sdk-java
com.clickhouse:clickhouse-client,com.clickhouse,clickhouse-client,CVE-2024-23689,HIGH,0.3.2-test1,0.4.5,0.4.6,0.6.4,1638273085000,1682382516000,1683038558000,2024-01-19T21:30:36Z,True,-22661278000,GHSA-3p77-wg4c-qm24,"CVE-2024-23689, GHSA-g8ph-74m6-8m7r",https://github.com/ClickHouse/clickhouse-jdbc/clickhouse-client,https://api.github.com/repos/ClickHouse/clickhouse-jdbc,ClickHouse,clickhouse-jdbc
com.clickhouse:clickhouse-jdbc,com.clickhouse,clickhouse-jdbc,CVE-2024-23689,HIGH,0.3.2-test1,0.4.5,0.4.6,0.6.4,1638273090000,1682382530000,1683038556000,2024-01-19T21:30:36Z,True,-22661280000,GHSA-3p77-wg4c-qm24,"CVE-2024-23689, GHSA-g8ph-74m6-8m7r",https://github.com/ClickHouse/clickhouse-jdbc/clickhouse-jdbc,https://api.github.com/repos/ClickHouse/clickhouse-jdbc,ClickHouse,clickhouse-jdbc
com.azure:azure-core-amqp,com.azure,azure-core-amqp,CVE-2020-16971,HIGH,1.0.0-preview.1,1.6.0-beta.1,1.6.0,2.9.8,1561742394000,1601083863000,1602532145000,2022-05-24T17:35:51Z,True,-50881606000,GHSA-8q69-pw39-hpqh,CVE-2020-16971,https://github.com/Azure/azure-sdk-for-java,https://api.github.com/repos/Azure/azure-sdk-for-java,Azure,azure-sdk-for-java
com.bstek.ureport:ureport2-core,com.bstek.ureport,ureport2-core,CVE-2023-24188,CRITICAL,2.0.0,2.2.9,,2.2.9,1496376461000,1533007473000,,2023-02-13T21:31:04Z,False,54347450841,GHSA-6fcj-9vfw-jq2m,CVE-2023-24188,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
com.clickhouse:clickhouse-r2dbc,com.clickhouse,clickhouse-r2dbc,CVE-2024-23689,HIGH,0.4.0,0.4.5,0.4.6,0.6.4,1674122157000,1682382517000,1683038553000,2024-01-19T21:30:36Z,True,-22661283000,GHSA-3p77-wg4c-qm24,"CVE-2024-23689, GHSA-g8ph-74m6-8m7r",https://github.com/ClickHouse/clickhouse-jdbc/clickhouse-r2dbc,https://api.github.com/repos/ClickHouse/clickhouse-jdbc,ClickHouse,clickhouse-jdbc
com.clever-cloud:biscuit-java,com.clever-cloud,biscuit-java,CVE-2022-31053,CRITICAL,0.2.1,1.1.4,2.0.0,2.2.1,1578491887000,1641811411000,1646394096000,2022-06-17T00:38:03Z,True,-9032187000,GHSA-75rw-34q6-72cr,"CVE-2022-31053, GO-2022-0564, HSEC-2023-0002",git@github.com:clevercloud/biscuit-java.git,,,
com.bstek.ureport:ureport2-core,com.bstek.ureport,ureport2-core,CVE-2023-48848,HIGH,2.0.0,2.2.9,,2.2.9,1496376461000,1533007473000,,2023-11-28T18:30:23Z,False,29475091841,GHSA-9vfc-qxc8-wrpq,CVE-2023-48848,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
com.bstek.ureport:ureport2-core,com.bstek.ureport,ureport2-core,CVE-2020-21125,CRITICAL,2.0.0,2.2.9,,2.2.9,1496376461000,1533007473000,,2021-09-20T20:45:03Z,False,98500611841,GHSA-729f-wvj3-c4pj,CVE-2020-21125,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
com.bstek.ureport:ureport2-core,com.bstek.ureport,ureport2-core,CVE-2023-24187,HIGH,2.0.0,2.2.9,,2.2.9,1496376461000,1533007473000,,2023-02-14T03:30:20Z,False,54325894841,GHSA-fhj6-gr87-g4cj,CVE-2023-24187,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
com.charleskorn.kaml:kaml,com.charleskorn.kaml,kaml,CVE-2023-28118,HIGH,0.1.0,0.52.0,0.53.0,0.61.0,1544981706000,1677288120000,1679103493000,2023-03-20T21:26:59Z,True,-244126000,GHSA-c24f-2j3g-rg48,CVE-2023-28118,http://github.com/charleskorn/kaml,https://api.github.com/repos/charleskorn/kaml,charleskorn,kaml
com.bmuschko:gradle-vagrant-plugin,com.bmuschko,gradle-vagrant-plugin,CVE-2021-21361,HIGH,2.2,2.2.1,3.0.0,3.0.0,1612623084000,1612922214000,1613535312000,2021-03-09T00:38:41Z,True,-1715009000,GHSA-jpcm-4485-69p7,CVE-2021-21361,https://github.com/bmuschko/gradle-vagrant-plugin,https://api.github.com/repos/bmuschko/gradle-vagrant-plugin,bmuschko,gradle-vagrant-plugin
com.bstek.uflo:uflo-core,com.bstek.uflo,uflo-core,CVE-2022-25894,CRITICAL,2.0.0,2.1.5,,2.1.5,1503301829000,1564368050000,,2023-01-26T21:30:25Z,False,55902691086,GHSA-8m9f-c5p9-wqch,CVE-2022-25894,https://github.com/youseries/uflo,https://api.github.com/repos/youseries/uflo,youseries,uflo
com.browserup:browserup-proxy,com.browserup,browserup-proxy,CVE-2020-26282,HIGH,1.1.0,2.1.1,2.1.2,2.1.2,1557947397000,1590513843000,1608021355000,2020-12-24T20:49:34Z,True,-821619000,GHSA-wmfg-55f9-j8hq,CVE-2020-26282,https://github.com/browserup/browserup-proxy,https://api.github.com/repos/browserup/browserup-proxy,browserup,browserup-proxy
com.charleskorn.kaml:kaml,com.charleskorn.kaml,kaml,CVE-2021-39194,MODERATE,0.1.0,0.35.2,0.35.3,0.61.0,1544981706000,1628763158000,1630824305000,2021-09-07T23:08:40Z,True,-231815000,GHSA-fmm9-3gv8-58f4,CVE-2021-39194,http://github.com/charleskorn/kaml,https://api.github.com/repos/charleskorn/kaml,charleskorn,kaml
com.cedarsoftware:json-io,com.cedarsoftware,json-io,CVE-2023-34610,HIGH,2.2.25,4.14.0,4.14.1,4.26.0,1378778713000,1665780797000,1694721746000,2023-06-14T15:30:38Z,True,7965108000,GHSA-779h-3r69-4f5p,CVE-2023-34610,https://github.com/jdereg/json-io,https://api.github.com/repos/jdereg/json-io,jdereg,json-io
com.bstek.ureport:ureport2-console,com.bstek.ureport,ureport2-console,CVE-2020-21122,HIGH,2.0.0,2.2.9,,2.2.9,1496377674000,1533007544000,,2021-09-20T20:45:21Z,False,98500596392,GHSA-6q3p-36f4-cwxv,CVE-2020-21122,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
com.bstek.ureport:ureport2-console,com.bstek.ureport,ureport2-console,CVE-2022-25767,CRITICAL,2.0.0,2.2.9,,2.2.9,1496377674000,1533007544000,,2022-05-03T00:00:44Z,False,79135273392,GHSA-w39x-chvm-pj3c,CVE-2022-25767,https://github.com/jacky6024/ureport2,https://api.github.com/repos/jacky6024/ureport2,jacky6024,ureport2
com.diffplug.spotless:spotless-maven-plugin,com.diffplug.spotless,spotless-maven-plugin,CVE-2019-9843,HIGH,1.0.0.BETA1,1.19.0,1.20.0,2.44.0.BETA2,1518395547000,1552325969000,1552597563000,2019-07-05T21:07:40Z,True,-9763297000,GHSA-7v35-qwwj-p98g,CVE-2019-9843,https://github.com/diffplug/plugin-maven,https://api.github.com/repos/diffplug/plugin-maven,diffplug,plugin-maven
com.diffplug.spotless:spotless-eclipse-wtp,com.diffplug.spotless,spotless-eclipse-wtp,CVE-2019-10753,MODERATE,3.9.5,3.9.5,3.9.6,3.23.0,1533742820000,1533742820000,1549843928000,2019-09-11T23:08:57Z,True,-18399409000,GHSA-gvxv-5fp2-358q,"CVE-2019-10753, SNYK-JAVA-COMDIFFPLUGSPOTLESS-460377",https://github.com/diffplug/eclipse-wtp,https://api.github.com/repos/diffplug/eclipse-wtp,diffplug,eclipse-wtp
com.datadoghq:datadog-api-client,com.datadoghq,datadog-api-client,CVE-2021-21331,LOW,1.0.0-beta.6,1.0.0-beta.7,1.0.0-beta.9,2.27.0,1592826843000,1610393186000,1613135356000,2021-03-03T23:01:17Z,True,-1677121000,GHSA-2cxf-6567-7pp6,CVE-2021-21331,https://github.com/DataDog/datadog-api-client-java,https://api.github.com/repos/DataDog/datadog-api-client-java,DataDog,datadog-api-client-java
com.cronutils:cron-utils,com.cronutils,cron-utils,CVE-2020-26238,CRITICAL,1.0.0,9.1.2,9.1.3,9.2.1,1409257171000,1605337711000,1605959675000,2020-11-24T23:48:38Z,True,-302043000,GHSA-pfj3-56hm-jwq5,CVE-2020-26238,https://github.com/jmrozanec/cron-utils,https://api.github.com/repos/jmrozanec/cron-utils,jmrozanec,cron-utils
com.cronutils:cron-utils,com.cronutils,cron-utils,CVE-2021-41269,CRITICAL,1.0.0,9.1.5,9.1.6,9.2.1,1409257171000,1617290255000,1636926111000,2021-11-15T23:27:11Z,True,-92720000,GHSA-p9m8-27x8-rg87,CVE-2021-41269,https://github.com/jmrozanec/cron-utils,https://api.github.com/repos/jmrozanec/cron-utils,jmrozanec,cron-utils
com.diamondq.common:common-thirdparty.jcasbin,com.diamondq.common,common-thirdparty.jcasbin,CVE-2021-29425,MODERATE,1.4.0,1.4.0,,1.4.0,1584321705000,1584321705000,,2021-04-26T16:04:00Z,False,111218281871,GHSA-gwrp-pvrq-jmwv,CVE-2021-29425,https://github.com/diamondq/osgi-thirdparty/tree/master/common-thirdparty.jcasbin,https://api.github.com/repos/diamondq/osgi-thirdparty,diamondq,osgi-thirdparty
com.diffplug.spotless:spotless-eclipse-cdt,com.diffplug.spotless,spotless-eclipse-cdt,CVE-2019-10753,MODERATE,9.4.3,9.4.3,9.4.4,10.5.0,1533743033000,1533743033000,1536039940000,2019-09-11T23:08:57Z,True,-32203397000,GHSA-gvxv-5fp2-358q,"CVE-2019-10753, SNYK-JAVA-COMDIFFPLUGSPOTLESS-460377",https://github.com/diffplug/eclipse-cdt,https://api.github.com/repos/diffplug/eclipse-cdt,diffplug,eclipse-cdt
com.diffplug.gradle:goomph,com.diffplug.gradle,goomph,CVE-2022-26049,HIGH,0.1.0,3.37.1,3.37.2,4.0.1,1444219630000,1656205151000,1660084726000,2022-09-12T00:00:33Z,True,-2856107000,GHSA-p2f7-9cv7-jjf6,CVE-2022-26049,https://github.com/diffplug/goomph,https://api.github.com/repos/diffplug/goomph,diffplug,goomph
com.diffplug.spotless:spotless-plugin-gradle,com.diffplug.spotless,spotless-plugin-gradle,CVE-2019-9843,HIGH,3.0.0.BETA2,3.19.0,3.20.0,7.0.0.BETA2,1483666347000,1552326056000,1552597817000,2019-07-05T21:07:40Z,True,-9763043000,GHSA-7v35-qwwj-p98g,CVE-2019-9843,https://github.com/diffplug/plugin-gradle,https://api.github.com/repos/diffplug/plugin-gradle,diffplug,plugin-gradle
com.ctrip.framework.apollo:apollo,com.ctrip.framework.apollo,apollo,CVE-2024-43397,MODERATE,1.0.0,2.0.1,,2.0.1,1533566336000,1654323253000,,2024-08-20T18:36:40Z,False,6492325683,GHSA-c6c3-h4f7-3962,CVE-2024-43397,https://github.com/ctripcorp/apollo,https://api.github.com/repos/ctripcorp/apollo,ctripcorp,apollo
com.ctrip.framework.apollo:apollo,com.ctrip.framework.apollo,apollo,CVE-2023-25569,MODERATE,1.0.0,2.0.1,,2.0.1,1533566336000,1654323253000,,2023-02-22T21:58:27Z,False,53568218683,GHSA-fmxq-v8mg-qh25,CVE-2023-25569,https://github.com/ctripcorp/apollo,https://api.github.com/repos/ctripcorp/apollo,ctripcorp,apollo
com.ctrip.framework.apollo:apollo,com.ctrip.framework.apollo,apollo,CVE-2023-25570,HIGH,1.0.0,2.0.1,,2.0.1,1533566336000,1654323253000,,2023-02-22T21:58:33Z,False,53568212683,GHSA-368x-wmmg-hq5c,CVE-2023-25570,https://github.com/ctripcorp/apollo,https://api.github.com/repos/ctripcorp/apollo,ctripcorp,apollo
com.ctrip.framework.apollo:apollo,com.ctrip.framework.apollo,apollo,CVE-2019-10686,CRITICAL,1.0.0,1.3.0,1.4.0,2.0.1,1533566336000,1550329357000,1556883691000,2019-04-18T14:27:42Z,True,1286029000,GHSA-fvx3-g627-phm2,CVE-2019-10686,https://github.com/ctripcorp/apollo,https://api.github.com/repos/ctripcorp/apollo,ctripcorp,apollo
com.diffplug.spotless:spotless-eclipse-groovy,com.diffplug.spotless,spotless-eclipse-groovy,CVE-2019-10753,MODERATE,2.9.2,3.0.0,3.0.1,4.3.0,1532014494000,1536039790000,1551130563000,2019-09-11T23:08:57Z,True,-17112774000,GHSA-gvxv-5fp2-358q,"CVE-2019-10753, SNYK-JAVA-COMDIFFPLUGSPOTLESS-460377",https://github.com/diffplug/eclipse-groovy,https://api.github.com/repos/diffplug/eclipse-groovy,diffplug,eclipse-groovy
com.cosium.vet:vet,com.cosium.vet,vet,CVE-2021-29425,MODERATE,1.0,3.22,,3.22,1519756588000,1561450920000,,2021-04-26T16:04:00Z,False,111218286983,GHSA-gwrp-pvrq-jmwv,CVE-2021-29425,https://github.com/Cosium/vet,https://api.github.com/repos/Cosium/vet,Cosium,vet
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,com.fasterxml.jackson.dataformat,jackson-dataformat-xml,CVE-2016-3720,CRITICAL,2.0.0-RC1,2.6.7,2.7.4,2.17.2,1329721033000,1465163310000,1461948440000,2018-10-18T17:43:16Z,True,-77936156000,GHSA-hmq6-frv3-4727,CVE-2016-3720,http://github.com/FasterXML/jackson-xml-databind,https://api.github.com/repos/FasterXML/jackson-xml-databind,FasterXML,jackson-xml-databind
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,com.fasterxml.jackson.dataformat,jackson-dataformat-xml,CVE-2016-7051,HIGH,2.0.0-RC1,2.8.3,2.8.0.rc1,2.17.2,1329721033000,1474165671000,1465276211000,2018-10-18T17:43:28Z,True,-74608397000,GHSA-7c2r-3jqf-c9rw,CVE-2016-7051,http://github.com/FasterXML/jackson-xml-databind,https://api.github.com/repos/FasterXML/jackson-xml-databind,FasterXML,jackson-xml-databind
com.fasterxml.jackson.dataformat:jackson-dataformats-text,com.fasterxml.jackson.dataformat,jackson-dataformats-text,CVE-2023-3894,HIGH,2.9.0.pr2,2.14.3,2.15.0,2.17.2,1490154963000,1683307075000,1682296217000,2023-08-08T18:30:37Z,True,-9223220000,GHSA-rg2c-cfxv-qp6f,CVE-2023-3894,http://github.com/FasterXML/jackson-dataformats-text,https://api.github.com/repos/FasterXML/jackson-dataformats-text,FasterXML,jackson-dataformats-text
com.fastasyncworldedit:FastAsyncWorldEdit-Core,com.fastasyncworldedit,FastAsyncWorldEdit-Core,CVE-2023-35925,MODERATE,2.0.0,2.6.2,2.6.3,2.11.1,1642166005000,1686129854000,1686564519000,2023-06-22T20:00:36Z,True,-899517000,GHSA-whj9-m24x-qhhp,CVE-2023-35925,https://github.com/IntellectualSites/FastAsyncWorldEdit,https://api.github.com/repos/IntellectualSites/FastAsyncWorldEdit,IntellectualSites,FastAsyncWorldEdit
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.core,jackson-databind,CVE-2019-16335,CRITICAL,2.0.0-RC1,2.7.9.7,2.7.0-rc1,2.17.2,1329638721000,1583862230000,1448573771000,2019-09-23T18:33:45Z,True,-120689854000,GHSA-85cw-hj65-qqv9,CVE-2019-16335,http://github.com/FasterXML/jackson-databind,https://api.github.com/repos/FasterXML/jackson-databind,FasterXML,jackson-databind
com.fasterxml.util:java-merge-sort,com.fasterxml.util,java-merge-sort,CVE-2022-24913,MODERATE,0.6.0,1.0.2,1.1.0,1.1.0,1323575711000,1568777057000,1668914253000,2023-01-12T06:30:24Z,True,-4590771000,GHSA-qxxc-7mq4-mf79,CVE-2022-24913,http://github.com/cowtowncoder/java-merge-sort,https://api.github.com/repos/cowtowncoder/java-merge-sort,cowtowncoder,java-merge-sort
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.core,jackson-databind,CVE-2019-14540,CRITICAL,2.0.0-RC1,2.7.9.7,2.7.0-rc1,2.17.2,1329638721000,1583862230000,1448573771000,2019-09-23T18:33:25Z,True,-120689834000,GHSA-h822-r4r5-v8jg,CVE-2019-14540,http://github.com/FasterXML/jackson-databind,https://api.github.com/repos/FasterXML/jackson-databind,FasterXML,jackson-databind
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.core,jackson-databind,CVE-2020-36189,HIGH,2.0.0-RC1,2.9.10.7,2.7.0-rc1,2.17.2,1329638721000,1606875495000,1448573771000,2021-12-09T19:16:59Z,True,-190503648000,GHSA-vfqx-33qm-g869,CVE-2020-36189,http://github.com/FasterXML/jackson-databind,https://api.github.com/repos/FasterXML/jackson-databind,FasterXML,jackson-databind
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.core,jackson-databind,CVE-2021-20190,HIGH,2.0.0-RC1,2.6.7.4,2.7.0-rc1,2.17.2,1329638721000,1603594117000,1448573771000,2021-01-20T21:20:15Z,True,-162603844000,GHSA-5949-rw7g-wx7w,CVE-2021-20190,http://github.com/FasterXML/jackson-databind,https://api.github.com/repos/FasterXML/jackson-databind,FasterXML,jackson-databind
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,CVE-2018-1000873,MODERATE,2.2.0-beta1,2.9.7,2.9.8,2.17.2,1366862225000,1537326266000,1544915187000,2018-12-21T17:46:54Z,True,-499227000,GHSA-h4x4-5qp2-wp46,CVE-2018-1000873,http://github.com/FasterXML/jackson-datatype-jsr310,https://api.github.com/repos/FasterXML/jackson-datatype-jsr310,FasterXML,jackson-datatype-jsr310
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.core,jackson-databind,CVE-2018-5968,HIGH,2.0.0-RC1,2.6.7.5,2.8.0.rc1,2.17.2,1329638721000,1624334058000,1465272456000,2020-06-30T20:40:50Z,True,-128277194000,GHSA-w3f4-3q6j-rh82,CVE-2018-5968,http://github.com/FasterXML/jackson-databind,https://api.github.com/repos/FasterXML/jackson-databind,FasterXML,jackson-databind
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.core,jackson-databind,CVE-2019-17531,CRITICAL,2.0.0-RC1,2.7.9.7,2.7.0-rc1,2.17.2,1329638721000,1583862230000,1448573771000,2019-11-13T00:32:38Z,True,-125031387000,GHSA-gjmw-vf9h-g25v,CVE-2019-17531,http://github.com/FasterXML/jackson-databind,https://api.github.com/repos/FasterXML/jackson-databind,FasterXML,jackson-databind
