Artifact,CVE_ID,Severity,Start Version,End Version,Start,End,Duration
com.atlassian.connect:atlassian-connect-spring-boot,CVE-2021-26077,HIGH,1.1.0,2.1.4,2016-10-31 20:10:58,2021-03-24 16:46:48,"1604 days, 20:35:50"
com.baomidou:mybatis-plus,CVE-2023-25330,CRITICAL,1.0,3.5.3,2016-01-27 00:19:08,2022-12-28 01:27:25,"2527 days, 1:08:17"
com.azure:azure-identity,CVE-2024-35255,MODERATE,1.0.0-preview.1,1.12.1,2019-06-28 13:27:36,2024-05-02 15:07:47,"1770 days, 1:40:11"
com.atlassian.connect:atlassian-connect-spring-boot-starter,CVE-2021-26074,MODERATE,1.1.0,2.1.2,2016-10-31 20:10:52,2020-11-18 04:52:17,"1478 days, 8:41:25"
com.caucho:resin,CVE-2021-44138,HIGH,4.0.52,4.0.53,2019-01-03 00:02:01,2019-01-08 04:24:54,"5 days, 4:22:53"
com.clickhouse:clickhouse-jdbc,CVE-2024-23689,MODERATE,0.3.2-test1,0.4.5,2021-11-30 03:51:30,2023-04-24 17:28:50,"510 days, 13:37:20"
com.clickhouse:clickhouse-client,CVE-2024-23689,MODERATE,0.3.2-test1,0.4.5,2021-11-30 03:51:25,2023-04-24 17:28:36,"510 days, 13:37:11"
com.coravy.hudson.plugins.github:github,CVE-2023-46650,HIGH,0.2,0.1,2010-05-19 18:25:15,2010-05-19 18:25:16,0:00:01
com.coravy.hudson.plugins.github:github,CVE-2018-1000600,HIGH,0.2,0.1,2010-05-19 18:25:15,2010-05-19 18:25:16,0:00:01
com.coravy.hudson.plugins.github:github,CVE-2018-1000184,MODERATE,0.2,0.1,2010-05-19 18:25:15,2010-05-19 18:25:16,0:00:01
com.coravy.hudson.plugins.github:github,CVE-2018-1000183,MODERATE,0.2,0.1,2010-05-19 18:25:15,2010-05-19 18:25:16,0:00:01
com.coravy.hudson.plugins.github:github,CVE-2022-36885,LOW,0.2,0.1,2010-05-19 18:25:15,2010-05-19 18:25:16,0:00:01
com.caverock:androidsvg,CVE-2017-1000498,HIGH,1.1.182,1.2.2-beta-1,2013-03-17 08:36:03,2014-06-16 00:27:15,"455 days, 15:51:12"
com.clever-cloud:biscuit-java,CVE-2022-31053,CRITICAL,0.2.1,1.1.4,2020-01-08 05:58:07,2022-01-10 02:43:31,"732 days, 20:45:24"
com.charleskorn.kaml:kaml,CVE-2021-39194,MODERATE,0.1.0,0.35.2,2018-12-16 09:35:06,2021-08-12 03:12:38,"969 days, 17:37:32"
com.charleskorn.kaml:kaml,CVE-2023-28118,HIGH,0.1.0,0.52.0,2018-12-16 09:35:06,2023-02-24 17:22:00,"1531 days, 7:46:54"
com.clickhouse:clickhouse-r2dbc,CVE-2024-23689,MODERATE,0.4.0,0.4.5,2023-01-19 01:55:57,2023-04-24 17:28:37,"95 days, 15:32:40"
com.bstek.ureport:ureport2-core,CVE-2023-24187,HIGH,2.0.0,2.2.9,2017-06-01 21:07:41,2018-07-30 20:24:33,"423 days, 23:16:52"
com.bstek.ureport:ureport2-core,CVE-2023-48848,HIGH,2.0.0,2.2.9,2017-06-01 21:07:41,2018-07-30 20:24:33,"423 days, 23:16:52"
com.bstek.ureport:ureport2-core,CVE-2020-21125,CRITICAL,2.0.0,2.2.9,2017-06-01 21:07:41,2018-07-30 20:24:33,"423 days, 23:16:52"
com.bstek.ureport:ureport2-core,CVE-2023-24188,CRITICAL,2.0.0,2.2.9,2017-06-01 21:07:41,2018-07-30 20:24:33,"423 days, 23:16:52"
com.browserup:browserup-proxy,CVE-2020-26282,HIGH,1.1.0,2.1.1,2019-05-15 12:09:57,2020-05-26 10:24:03,"376 days, 22:14:06"
com.bmuschko:gradle-vagrant-plugin,CVE-2021-21361,HIGH,2.2,2.2.1,2021-02-06 06:51:24,2021-02-09 17:56:54,"3 days, 11:05:30"
com.bstek.uflo:uflo-core,CVE-2022-25894,CRITICAL,2.0.0,2.1.5,2017-08-21 00:50:29,2019-07-28 19:40:50,"706 days, 18:50:21"
com.cedarsoftware:json-io,CVE-2023-34610,HIGH,2.2.25,4.14.0,2013-09-09 19:05:13,2022-10-14 13:53:17,"3321 days, 18:48:04"
com.bstek.ureport:ureport2-console,CVE-2020-21122,HIGH,2.0.0,2.2.9,2017-06-01 21:27:54,2018-07-30 20:25:44,"423 days, 22:57:50"
com.bstek.ureport:ureport2-console,CVE-2022-25767,CRITICAL,2.0.0,2.2.9,2017-06-01 21:27:54,2018-07-30 20:25:44,"423 days, 22:57:50"
com.codenameone:codenameone-core,CVE-2022-4903,CRITICAL,7.0.8-b1,v7.0.81,2021-02-12 16:13:59,2022-09-01 21:30:34,"566 days, 5:16:35"
com.drewnoakes:metadata-extractor,CVE-2022-24613,MODERATE,2.4.0-beta-1,2.17.0,2009-02-26 10:32:48,2022-03-16 16:45:31,"4766 days, 6:12:43"
com.drewnoakes:metadata-extractor,CVE-2022-24614,MODERATE,2.4.0-beta-1,2.17.0,2009-02-26 10:32:48,2022-03-16 16:45:31,"4766 days, 6:12:43"
com.diffplug.spotless:spotless-eclipse-wtp,CVE-2019-10753,MODERATE,3.9.5,3.9.5,2018-08-08 08:40:20,2018-08-08 08:40:20,0:00:00
com.diffplug.spotless:spotless-maven-plugin,CVE-2019-9843,HIGH,1.0.0.BETA1,1.19.0,2018-02-11 16:32:27,2019-03-11 10:39:29,"392 days, 18:07:02"
com.datadoghq:datadog-api-client,CVE-2021-21331,LOW,1.0.0-beta.6,1.0.0-beta.7,2020-06-22 04:54:03,2021-01-11 11:26:26,"203 days, 6:32:23"
com.cronutils:cron-utils,CVE-2021-41269,CRITICAL,1.0.0,9.1.5,2014-08-28 13:19:31,2021-04-01 08:17:35,"2407 days, 18:58:04"
com.cronutils:cron-utils,CVE-2020-26238,CRITICAL,1.0.0,9.1.2,2014-08-28 13:19:31,2020-11-13 23:08:31,"2269 days, 9:49:00"
com.diffplug.spotless:spotless-eclipse-cdt,CVE-2019-10753,MODERATE,9.4.3,9.4.3,2018-08-08 08:43:53,2018-08-08 08:43:53,0:00:00
com.diamondq.common:common-thirdparty.jcasbin,CVE-2021-29425,MODERATE,1.4.0,1.4.0,2020-03-15 18:21:45,2020-03-15 18:21:45,0:00:00
com.diffplug.gradle:goomph,CVE-2022-26049,HIGH,0.1.0,3.37.1,2015-10-07 05:07:10,2022-06-25 17:59:11,"2453 days, 12:52:01"
com.diffplug.spotless:spotless-plugin-gradle,CVE-2019-9843,HIGH,3.0.0.BETA2,3.19.0,2017-01-05 17:32:27,2019-03-11 10:40:56,"794 days, 17:08:29"
com.ds.tools.hudson:crowd,CVE-2019-1003097,MODERATE,1.1,1.0,2010-05-19 17:54:29,2010-05-19 17:54:38,0:00:09
com.ctrip.framework.apollo:apollo,CVE-2023-25570,HIGH,1.0.0,2.0.1,2018-08-06 07:38:56,2022-06-03 23:14:13,"1397 days, 15:35:17"
com.ctrip.framework.apollo:apollo,CVE-2023-25569,MODERATE,1.0.0,2.0.1,2018-08-06 07:38:56,2022-06-03 23:14:13,"1397 days, 15:35:17"
com.ctrip.framework.apollo:apollo,CVE-2019-10686,CRITICAL,1.0.0,1.3.0,2018-08-06 07:38:56,2019-02-16 07:02:37,"193 days, 23:23:41"
com.ctrip.framework.apollo:apollo,CVE-2024-43397,MODERATE,1.0.0,2.0.1,2018-08-06 07:38:56,2022-06-03 23:14:13,"1397 days, 15:35:17"
com.ctrip.framework.apollo:apollo-core,CVE-2020-15170,HIGH,1.0.0,1.7.0,2018-08-06 07:39:17,2020-08-01 07:19:46,"725 days, 23:40:29"
com.diffplug.spotless:spotless-eclipse-groovy,CVE-2019-10753,MODERATE,2.9.2,3.0.0,2018-07-19 08:34:54,2018-09-03 22:43:10,"46 days, 14:08:16"
com.cosium.vet:vet,CVE-2021-29425,MODERATE,1.0,3.22,2018-02-27 10:36:28,2019-06-25 01:22:00,"482 days, 14:45:32"
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,CVE-2016-3720,CRITICAL,2.0.0-RC1,2.6.7,2012-02-19 22:57:13,2016-06-05 14:48:30,"1567 days, 15:51:17"
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,CVE-2016-7051,HIGH,2.0.0-RC1,2.8.3,2012-02-19 22:57:13,2016-09-17 19:27:51,"1671 days, 20:30:38"
com.fasterxml.util:java-merge-sort,CVE-2022-24913,MODERATE,0.6.0,1.0.2,2011-12-10 19:55:11,2019-09-17 20:24:17,"2838 days, 0:29:06"
com.fasterxml.jackson.dataformat:jackson-dataformats-text,CVE-2023-3894,HIGH,2.9.0.pr2,2.14.3,2017-03-21 20:56:03,2023-05-05 10:17:55,"2235 days, 13:21:52"
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,CVE-2020-28491,HIGH,2.8.0.rc1,2.12.0,2016-06-06 21:19:29,2020-11-28 18:57:09,"1635 days, 21:37:40"
com.fastasyncworldedit:FastAsyncWorldEdit-Core,CVE-2023-35925,MODERATE,2.0.0,2.6.2,2022-01-14 05:13:25,2023-06-07 02:24:14,"508 days, 21:10:49"
com.erudika:para-core,CVE-2022-1848,MODERATE,1.13,1.45.10,2015-04-05 10:21:11,2022-05-13 07:44:58,"2594 days, 21:23:47"
com.erudika:para-core,CVE-2022-1782,CRITICAL,1.13,1.45.10,2015-04-05 10:21:11,2022-05-13 07:44:58,"2594 days, 21:23:47"
com.facebook.presto:presto-jdbc,UNKNOWN,HIGH,0.52,0.283,2013-11-05 18:58:30,2023-08-08 09:51:00,"3562 days, 14:52:30"
com.esotericsoftware.yamlbeans:yamlbeans,CVE-2023-24621,HIGH,1.06,1.15,2013-01-18 13:33:05,2020-08-12 18:56:43,"2763 days, 5:23:38"
com.esotericsoftware.yamlbeans:yamlbeans,CVE-2023-24620,MODERATE,1.06,1.15,2013-01-18 13:33:05,2020-08-12 18:56:43,"2763 days, 5:23:38"
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,CVE-2018-1000873,MODERATE,2.2.0-beta1,2.9.7,2013-04-24 20:57:05,2018-09-18 20:04:26,"1972 days, 23:07:21"
com.fasterxml.jackson.core:jackson-databind,CVE-2020-36187,HIGH,2.0.0,2.6.7.5,2012-03-25 12:11:24,2021-06-21 20:54:18,"3375 days, 8:42:54"
com.fasterxml.jackson.core:jackson-databind,CVE-2020-36180,HIGH,2.0.0,2.9.10.7,2012-03-25 12:11:24,2020-12-01 18:18:15,"3173 days, 6:06:51"
com.fasterxml.jackson.core:jackson-databind,CVE-2020-36181,HIGH,2.0.0,2.9.10.7,2012-03-25 12:11:24,2020-12-01 18:18:15,"3173 days, 6:06:51"
com.fasterxml.jackson.core:jackson-databind,CVE-2020-9547,CRITICAL,2.0.0,2.6.7.5,2012-03-25 12:11:24,2021-06-21 20:54:18,"3375 days, 8:42:54"
com.fasterxml.jackson.core:jackson-databind,CVE-2020-36182,HIGH,2.0.0,2.9.10.7,2012-03-25 12:11:24,2020-12-01 18:18:15,"3173 days, 6:06:51"
com.fasterxml.jackson.core:jackson-databind,CVE-2020-10650,HIGH,2.0.0-RC1,2.6.7.5,2012-02-19 00:05:21,2021-06-21 20:54:18,"3410 days, 20:48:57"
