Artifact,CVE_ID,Severity,Start Version,End Version,Start,End,Duration,API_ID,API_Aliases,API_Modified,API_Published,API_Severity
ca.uhn.hapi.fhir:org.hl7.fhir.validation,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 03:50:33,2023-01-17 13:56:02,"1252 days, 10:05:29",GHSA-jqh6-9574-5x22,"CVE-2023-24057, GHSA-xr8x-pxm6-prjg",2023-11-08T04:11:43.699753Z,2023-01-23T22:05:28Z,CRITICAL
ca.uhn.hapi.fhir:org.hl7.fhir.validation,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 03:50:33,2023-03-09 04:57:06,"1303 days, 1:06:33",GHSA-9654-pr4f-gh6m,CVE-2023-28465,2024-02-16T08:16:45.984605Z,2023-03-10T22:15:55Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.r5,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:46:57,2024-08-27 13:51:11,"1840 days, 10:04:14",GHSA-6cr6-ph3p-f5rf,CVE-2024-45294,2024-09-06T20:12:11.180096Z,2024-09-06T19:45:27Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.r5,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 03:46:57,2023-01-17 13:56:11,"1252 days, 10:09:14",GHSA-jqh6-9574-5x22,"CVE-2023-24057, GHSA-xr8x-pxm6-prjg",2023-11-08T04:11:43.699753Z,2023-01-23T22:05:28Z,CRITICAL
ca.uhn.hapi.fhir:org.hl7.fhir.r5,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 03:46:57,2023-03-09 04:57:30,"1303 days, 1:10:33",GHSA-9654-pr4f-gh6m,CVE-2023-28465,2024-02-16T08:16:45.984605Z,2023-03-10T22:15:55Z,HIGH
ca.juliusdavies:not-yet-commons-ssl,CVE-2014-3604,MODERATE,0.3.11,0.3.9,2009-10-23 11:32:39,2011-03-15 08:39:11,"507 days, 21:06:32",GHSA-cmxj-wx9v-52qr,CVE-2014-3604,2023-11-08T03:57:39.510485Z,2022-05-14T03:59:54Z,MODERATE
ca.uhn.hapi.fhir:org.hl7.fhir.dstu2016may,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:13:42,2024-08-27 13:51:27,"1840 days, 10:37:45",GHSA-6cr6-ph3p-f5rf,CVE-2024-45294,2024-09-06T20:12:11.180096Z,2024-09-06T19:45:27Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.r4b,CVE-2024-45294,HIGH,5.6.22,6.3.22,2022-01-10 16:04:19,2024-08-27 13:51:29,"959 days, 21:47:10",GHSA-6cr6-ph3p-f5rf,CVE-2024-45294,2024-09-06T20:12:11.180096Z,2024-09-06T19:45:27Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.r4b,CVE-2023-24057,CRITICAL,5.6.22,5.6.91,2022-01-10 16:04:19,2023-01-17 13:56:01,"371 days, 21:51:42",GHSA-jqh6-9574-5x22,"CVE-2023-24057, GHSA-xr8x-pxm6-prjg",2023-11-08T04:11:43.699753Z,2023-01-23T22:05:28Z,CRITICAL
ca.uhn.hapi.fhir:org.hl7.fhir.r4b,CVE-2023-28465,HIGH,5.6.22,5.6.105,2022-01-10 16:04:19,2023-03-09 04:57:35,"422 days, 12:53:16",GHSA-9654-pr4f-gh6m,CVE-2023-28465,2024-02-16T08:16:45.984605Z,2023-03-10T22:15:55Z,HIGH
cc.plural:jsonij,CVE-2023-34614,HIGH,0.2.3.6,0.5.2,2011-03-03 23:36:41,2019-01-05 01:38:31,"2864 days, 2:01:50",GHSA-66gv-5m8q-rrjc,CVE-2023-34614,2024-02-16T08:19:11.905774Z,2023-06-14T15:30:38Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.convertors,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 03:50:10,2023-01-17 13:55:57,"1252 days, 10:05:47",GHSA-jqh6-9574-5x22,"CVE-2023-24057, GHSA-xr8x-pxm6-prjg",2023-11-08T04:11:43.699753Z,2023-01-23T22:05:28Z,CRITICAL
ca.uhn.hapi.fhir:org.hl7.fhir.convertors,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 03:50:10,2023-03-09 04:57:46,"1303 days, 1:07:36",GHSA-9654-pr4f-gh6m,CVE-2023-28465,2024-02-16T08:16:45.984605Z,2023-03-10T22:15:55Z,HIGH
ca.uhn.hapi.fhir:hapi-fhir-base,CVE-2019-12741,MODERATE,0.1,3.7.0,2014-04-17 04:56:05,2019-02-05 18:19:41,"1755 days, 13:23:36",GHSA-52mh-p2m2-w625,CVE-2019-12741,2023-11-08T04:01:06.066835Z,2019-06-07T20:56:59Z,MODERATE
ca.uhn.hapi.fhir:org.hl7.fhir.utilities,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 02:56:01,2024-08-27 13:51:09,"1840 days, 10:55:08",GHSA-6cr6-ph3p-f5rf,CVE-2024-45294,2024-09-06T20:12:11.180096Z,2024-09-06T19:45:27Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.utilities,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 02:56:01,2023-01-17 13:56:05,"1252 days, 11:00:04",GHSA-jqh6-9574-5x22,"CVE-2023-24057, GHSA-xr8x-pxm6-prjg",2023-11-08T04:11:43.699753Z,2023-01-23T22:05:28Z,CRITICAL
ca.uhn.hapi.fhir:org.hl7.fhir.utilities,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 02:56:01,2023-03-09 04:57:45,"1303 days, 2:01:44",GHSA-9654-pr4f-gh6m,CVE-2023-28465,2024-02-16T08:16:45.984605Z,2023-03-10T22:15:55Z,HIGH
ca.uhn.hapi.fhir:hapi-fhir-jpaserver-base,CVE-2021-32053,MODERATE,0.9,5.3.3,2015-03-14 13:19:29,2021-04-26 11:29:26,"2234 days, 22:09:57",GHSA-67f6-c8mx-4q2m,CVE-2021-32053,2023-11-08T04:05:52.696034Z,2021-06-16T17:21:11Z,MODERATE
ch.qos.logback:logback-classic,CVE-2017-5929,CRITICAL,0.2.5,1.1.11,2006-08-23 09:43:48,2017-03-01 11:37:04,"3843 days, 1:53:16",GHSA-vmfg-rjjm-rjrj,CVE-2017-5929,2024-03-09T05:18:12.019858Z,2021-06-07T16:07:36Z,CRITICAL
ch.qos.logback:logback-classic,CVE-2023-6378,HIGH,0.2.5,1.3.11,2006-08-23 09:43:48,2023-08-09 12:34:03,"6195 days, 2:50:15",GHSA-vmq6-5m68-f53m,CVE-2023-6378,2024-02-16T08:07:48.816850Z,2023-11-29T12:30:16Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.core,CVE-2023-24057,CRITICAL,4.0.0,5.6.91,2019-08-14 02:52:34,2023-01-17 13:55:47,"1252 days, 11:03:13",GHSA-jqh6-9574-5x22,"CVE-2023-24057, GHSA-xr8x-pxm6-prjg",2023-11-08T04:11:43.699753Z,2023-01-23T22:05:28Z,CRITICAL
ca.uhn.hapi.fhir:org.hl7.fhir.core,CVE-2023-28465,HIGH,4.0.0,5.6.105,2019-08-14 02:52:34,2023-03-09 04:57:14,"1303 days, 2:04:40",GHSA-9654-pr4f-gh6m,CVE-2023-28465,2024-02-16T08:16:45.984605Z,2023-03-10T22:15:55Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.dstu3,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:24:25,2024-08-27 13:51:28,"1840 days, 10:27:03",GHSA-6cr6-ph3p-f5rf,CVE-2024-45294,2024-09-06T20:12:11.180096Z,2024-09-06T19:45:27Z,HIGH
cn.dev33:sa-token-core,CVE-2023-44794,CRITICAL,1.6.0,1.36.0,2020-12-21 07:37:16,2023-09-21 12:05:11,"1004 days, 4:27:55",GHSA-54f6-9mx9-86f7,CVE-2023-44794,2024-09-12T18:46:08.445247Z,2023-10-25T18:32:23Z,CRITICAL
cn.dev33:sa-token-core,CVE-2023-43961,HIGH,1.6.0,1.35.0.RC,2020-12-21 07:37:16,2023-06-23 01:42:46,"913 days, 18:05:30",GHSA-w9vh-hv5g-7wmr,CVE-2023-43961,2024-09-11T21:37:39.951973Z,2023-10-25T18:32:23Z,HIGH
ch.qos.logback:logback-core,CVE-2017-5929,CRITICAL,0.2.5,1.1.11,2006-08-23 09:42:14,2017-03-01 11:36:04,"3843 days, 1:53:50",GHSA-vmfg-rjjm-rjrj,CVE-2017-5929,2024-03-09T05:18:12.019858Z,2021-06-07T16:07:36Z,CRITICAL
ch.qos.logback:logback-core,CVE-2023-6378,HIGH,0.2.5,1.3.11,2006-08-23 09:42:14,2023-08-09 12:33:33,"6195 days, 2:51:19",GHSA-vmq6-5m68-f53m,CVE-2023-6378,2024-02-16T08:07:48.816850Z,2023-11-29T12:30:16Z,HIGH
ch.qos.logback:logback-core,CVE-2021-42550,MODERATE,0.2.5,1.2.8,2006-08-23 09:42:14,2021-12-14 03:56:06,"5591 days, 18:13:52",GHSA-668q-qrv7-99fm,CVE-2021-42550,2024-02-16T08:18:41.537541Z,2021-12-17T20:00:50Z,MODERATE
ch.qos.logback:logback-core,CVE-2023-6481,HIGH,1.2.12,1.4.13,2023-03-23 14:20:11,2023-11-28 06:41:44,"249 days, 16:21:33",GHSA-gm62-rw4g-vrc4,CVE-2023-6481,2023-12-08T15:26:30.180357Z,2023-12-04T09:30:23Z,HIGH
ca.uhn.hapi.fhir:org.hl7.fhir.r4,CVE-2024-45294,HIGH,4.0.0,6.3.22,2019-08-14 03:33:37,2024-08-27 13:51:29,"1840 days, 10:17:52",GHSA-6cr6-ph3p-f5rf,CVE-2024-45294,2024-09-06T20:12:11.180096Z,2024-09-06T19:45:27Z,HIGH
co.elastic.apm:apm-agent-parent,CVE-2021-37942,HIGH,1.18.0,1.26.2,2020-09-08 01:02:01,2021-12-30 08:37:26,"478 days, 7:35:25",GHSA-5xqm-hc45-f2g2,CVE-2021-37942,2024-02-16T08:08:14.257250Z,2023-11-22T03:30:19Z,HIGH
cn.hutool:hutool-json,CVE-2023-42277,CRITICAL,4.0.0,5.8.21,2018-01-12 08:18:38,2023-07-28 23:10:46,"2023 days, 14:52:08",GHSA-7p8c-crfr-q93p,CVE-2023-42277,2024-02-16T08:22:04.489637Z,2023-09-09T00:30:48Z,CRITICAL
cn.hutool:hutool-json,CVE-2022-45690,MODERATE,4.0.0,5.8.10,2018-01-12 08:18:38,2022-11-16 17:13:39,"1769 days, 8:55:01",GHSA-whgh-g24c-3j5q,CVE-2022-45690,2023-11-08T04:10:53.517003Z,2022-12-13T15:30:26Z,MODERATE
cn.hutool:hutool-json,CVE-2023-42276,CRITICAL,4.0.0,5.8.21,2018-01-12 08:18:38,2023-07-28 23:10:46,"2023 days, 14:52:08",GHSA-rxgf-r843-g53h,CVE-2023-42276,2024-02-16T08:17:55.609430Z,2023-09-09T00:30:48Z,CRITICAL
cn.hutool:hutool-json,CVE-2022-45688,HIGH,4.0.0,5.8.24,2018-01-12 08:18:38,2023-12-23 08:09:11,"2170 days, 23:50:33",GHSA-3vqj-43w4-2q58,CVE-2022-45688,2024-04-15T20:32:09.965200Z,2022-12-13T15:30:26Z,HIGH
cn.hutool:hutool-json,CVE-2023-42278,HIGH,4.0.0,5.8.21,2018-01-12 08:18:38,2023-07-28 23:10:46,"2023 days, 14:52:08",GHSA-rr66-qh5m-w6mx,CVE-2023-42278,2024-02-16T08:15:32.816028Z,2023-09-09T00:30:48Z,HIGH
cn.hutool:hutool-json,CVE-2022-45689,LOW,4.0.0,5.8.10,2018-01-12 08:18:38,2022-11-16 17:13:39,"1769 days, 8:55:01",GHSA-fxrc-hg6j-6v3x,CVE-2022-45689,2023-11-08T04:10:53.456068Z,2022-12-13T15:30:26Z,LOW
cn.hutool:hutool-parent,CVE-2018-17297,HIGH,4.0.0,4.1.11,2018-01-12 08:14:23,2018-09-12 17:28:47,"243 days, 9:14:24",GHSA-rhq2-2574-78mc,CVE-2018-17297,2023-11-08T04:00:04.085589Z,2018-10-17T19:54:53Z,HIGH
cn.hutool:hutool-all,CVE-2018-17297,HIGH,4.0.0,4.1.11,2018-01-12 08:25:39,2018-09-12 17:39:54,"243 days, 9:14:15",GHSA-rhq2-2574-78mc,CVE-2018-17297,2023-11-08T04:00:04.085589Z,2018-10-17T19:54:53Z,HIGH
cn.hutool:hutool-all,CVE-2023-24163,CRITICAL,4.0.0,5.8.20,2018-01-12 08:25:39,2023-06-16 10:19:42,"1981 days, 1:54:03",GHSA-6c25-cxcc-pmc4,CVE-2023-24163,2024-05-16T17:31:20.771583Z,2023-01-31T18:30:23Z,CRITICAL
cn.hutool:hutool-all,CVE-2023-24162,CRITICAL,4.0.0,5.8.11,2018-01-12 08:25:39,2022-12-27 06:10:17,"1809 days, 21:44:38",GHSA-77h8-5j3h-jcjf,CVE-2023-24162,2023-11-08T04:11:43.760194Z,2023-01-31T18:30:23Z,CRITICAL
cn.hutool:hutool-core,CVE-2022-4565,HIGH,4.0.0,5.8.10,2018-01-12 08:14:58,2022-11-16 17:13:52,"1769 days, 8:58:54",GHSA-47vx-fqr5-j2gw,CVE-2022-4565,2023-11-08T04:10:53.271523Z,2022-12-16T21:30:44Z,HIGH
cn.hutool:hutool-core,CVE-2023-33695,HIGH,4.0.0,5.8.18,2018-01-12 08:14:58,2023-04-16 08:46:14,"1920 days, 0:31:16",GHSA-7mcw-xmx3-7p8m,CVE-2023-33695,2024-02-16T08:11:30.387320Z,2023-06-13T18:30:39Z,HIGH
cn.hutool:hutool-core,CVE-2023-42277,CRITICAL,4.0.0,5.8.21,2018-01-12 08:14:58,2023-07-28 23:07:19,"2023 days, 14:52:21",GHSA-7p8c-crfr-q93p,CVE-2023-42277,2024-02-16T08:22:04.489637Z,2023-09-09T00:30:48Z,CRITICAL
cn.hutool:hutool-core,CVE-2023-3276,HIGH,4.0.0,5.8.19,2018-01-12 08:14:58,2023-05-26 09:28:26,"1960 days, 1:13:28",GHSA-p2qf-9vp6-3jjq,CVE-2023-3276,2024-03-01T14:46:11.705975Z,2023-06-15T15:30:15Z,HIGH
cn.hutool:hutool-core,CVE-2023-42276,CRITICAL,4.0.0,5.8.21,2018-01-12 08:14:58,2023-07-28 23:07:19,"2023 days, 14:52:21",GHSA-rxgf-r843-g53h,CVE-2023-42276,2024-02-16T08:17:55.609430Z,2023-09-09T00:30:48Z,CRITICAL
cn.hutool:hutool-core,CVE-2023-42278,HIGH,4.0.0,5.8.21,2018-01-12 08:14:58,2023-07-28 23:07:19,"2023 days, 14:52:21",GHSA-rr66-qh5m-w6mx,CVE-2023-42278,2024-02-16T08:15:32.816028Z,2023-09-09T00:30:48Z,HIGH
cn.hutool:hutool-core,CVE-2023-51075,HIGH,4.0.0,5.8.23,2018-01-12 08:14:58,2023-11-12 03:07:59,"2129 days, 18:53:01",GHSA-7m7h-rgvp-3v4r,CVE-2023-51075,2024-02-16T08:12:59.145244Z,2023-12-27T21:31:01Z,HIGH
cn.hutool:hutool-core,CVE-2018-17297,HIGH,4.0.0,4.1.11,2018-01-12 08:14:58,2018-09-12 17:29:24,"243 days, 9:14:26",GHSA-rhq2-2574-78mc,CVE-2018-17297,2023-11-08T04:00:04.085589Z,2018-10-17T19:54:53Z,HIGH
cn.hutool:hutool-core,CVE-2023-51080,HIGH,5.8.22,5.8.24,2023-09-13 06:28:18,2023-12-23 08:09:44,"101 days, 1:41:26",GHSA-m5hf-m3r2-xq53,CVE-2023-51080,2024-02-16T08:24:07.228285Z,2023-12-27T21:31:01Z,HIGH
cn.hippo4j:hippo4j-core,CVE-2023-27095,MODERATE,1.1.0-alpha,1.4.3,2022-03-01 05:51:57,2022-11-06 01:35:02,"249 days, 19:43:05",GHSA-xg89-vvwp-9c27,CVE-2023-27095,2023-11-08T04:12:03.382058Z,2023-03-16T03:30:16Z,MODERATE
cn.hippo4j:hippo4j-all,CVE-2023-27094,HIGH,0.0.1,1.4.3,2021-11-15 17:45:42,2022-11-06 01:28:48,"355 days, 7:43:06",GHSA-fvx4-8h2x-gm9q,CVE-2023-27094,2023-11-08T04:12:03.318408Z,2023-03-23T18:30:18Z,HIGH
cn.hippo4j:hippo4j-all,CVE-2023-27096,MODERATE,0.0.1,1.4.3,2021-11-15 17:45:42,2022-11-06 01:28:48,"355 days, 7:43:06",GHSA-h855-6hph-v363,CVE-2023-27096,2023-11-08T04:12:03.442757Z,2023-03-27T15:30:17Z,MODERATE
cn.hutool:hutool-http,CVE-2022-22885,CRITICAL,4.0.0,5.7.18,2018-01-12 08:21:15,2021-12-24 11:01:34,"1442 days, 2:40:19",GHSA-p7w9-8mxw-p3g7,CVE-2022-22885,2023-11-08T04:08:14.197372Z,2022-02-17T00:00:26Z,CRITICAL
com.amazon.redshift:redshift-jdbc42,BIT-postgresql-jdbc-driver-2024-1597,CRITICAL,2.0.0.3,2.1.0.27,2021-03-08 14:23:32,2024-05-07 14:30:53,"1156 days, 0:07:21",GHSA-x3wm-hffr-chwm,"BIT-postgresql-jdbc-driver-2024-1597, CGA-5cmg-w6mr-wx73, CGA-pp92-9wg6-xwgx, CVE-2024-1597, CVE-2024-32888, GHSA-24rp-q3w6-vc56, GHSA-xfg6-62px-cxc2",2024-10-22T05:28:53.424537Z,2024-05-15T17:10:49Z,CRITICAL
com.amazon.redshift:redshift-jdbc42,CVE-2022-41828,HIGH,2.0.0.3,2.1.0.7,2021-03-08 14:23:32,2022-05-04 18:21:58,"422 days, 3:58:26",GHSA-jc69-hjw2-fm86,CVE-2022-41828,2023-11-08T04:10:33.160067Z,2022-10-12T18:23:36Z,HIGH
com.adobe.acs:acs-aem-commons,CVE-2022-28820,MODERATE,4.6.0,5.1.2,2020-05-01 08:15:30,2022-01-21 08:43:42,"630 days, 0:28:12",GHSA-w5m2-299g-rff5,CVE-2022-28820,2023-11-08T04:09:05.797637Z,2022-04-26T12:59:00Z,MODERATE
com.adobe.acs:acs-aem-commons,CVE-2021-21028,MODERATE,4.6.0,4.9.2,2020-05-01 08:15:30,2020-11-10 12:04:23,"193 days, 3:48:53",GHSA-7r83-w6r8-fh6w,"CVE-2021-21028, CVE-2021-21043, GHSA-f92j-qf46-p6vm",2023-11-08T04:04:38.519203Z,2021-05-13T22:31:14Z,MODERATE
com.adobe.cq:core.wcm.components.core,CVE-2022-35697,MODERATE,2.2.0,2.20.6,2018-11-22 05:55:11,2022-07-07 06:29:24,"1323 days, 0:34:13",GHSA-qcgc-6q86-7x2p,CVE-2022-35697,2023-11-08T04:09:51.877731Z,2022-08-11T15:57:01Z,MODERATE
com.alibaba.oneagent:one-java-agent-plugin,CVE-2022-25842,MODERATE,0.0.1,0.0.1,2021-03-13 09:17:01,2021-03-13 09:17:01,0:00:00,GHSA-9hr3-j9mc-xmq2,CVE-2022-25842,2023-11-08T04:08:48.762806Z,2022-05-03T00:00:44Z,MODERATE
com.adobe.xmp:xmpcore,CVE-2016-4216,HIGH,5.1.0,5.1.2,2012-05-23 07:25:48,2012-07-03 03:13:39,"40 days, 19:47:51",GHSA-qv32-7r6p-xhhh,CVE-2016-4216,2023-11-08T03:58:28.439727Z,2018-10-19T16:39:29Z,HIGH
com.amazonaws:aws-android-sdk-mobile-client,CVE-2022-4725,CRITICAL,2.6.7,2.59.0,2017-11-16 13:53:16,2022-11-22 10:44:08,"1831 days, 20:50:52",GHSA-f5h9-qx38-2hgp,CVE-2022-4725,2023-11-08T04:10:59.678808Z,2022-12-27T15:30:19Z,CRITICAL
com.alipay.sofa:hessian,CVE-2019-9212,CRITICAL,3.3.0,3.3.5,2018-04-08 21:00:52,2019-01-02 22:49:07,"269 days, 1:48:15",GHSA-pfwp-8pq4-g7pv,CVE-2019-9212,2024-03-21T16:59:13.340238Z,2019-03-06T17:36:08Z,CRITICAL
com.alipay.sofa:hessian,CVE-2024-46983,HIGH,3.3.0,3.5.4,2018-04-08 21:00:52,2024-08-18 19:57:58,"2323 days, 22:57:06",GHSA-c459-2m73-67hj,CVE-2024-46983,2024-09-20T15:01:11.227718Z,2024-09-19T14:49:20Z,HIGH
com.amazonaws:aws-encryption-sdk-java,CVE-2020-8897,HIGH,0.0.1,1.9.2,2016-10-04 13:43:31,2022-08-30 11:44:14,"2155 days, 22:00:43",GHSA-wqgp-vphw-hphf,"CVE-2020-8897, PYSEC-2020-261",2024-09-04T19:31:40.614274Z,2021-10-12T16:01:12Z,HIGH
com.amazonaws:aws-encryption-sdk-java,CVE-2024-23680,MODERATE,0.0.1,2.0.0,2016-10-04 13:43:31,2020-09-24 18:47:34,"1451 days, 5:04:03",GHSA-55xh-53m6-936r,"CVE-2024-23680, GHSA-gvc7-gjrw-hj65",2024-01-30T20:14:02.888237Z,2021-06-01T21:17:36Z,MODERATE
com.aerospike:aerospike-client,CVE-2023-36480,CRITICAL,3.0.22,6.1.11,2014-02-11 10:10:53,2023-06-21 14:30:24,"3417 days, 4:19:31",GHSA-jj95-55cr-9597,CVE-2023-36480,2024-02-16T08:03:50.658641Z,2023-08-03T19:45:39Z,CRITICAL
com.amazon.ion:ion-java,CVE-2024-21634,HIGH,1.4.0,1.10.4,2019-04-11 16:02:47,2023-09-14 15:33:33,"1616 days, 23:30:46",GHSA-264p-99wq-f4j6,CVE-2024-21634,2024-04-12T17:16:19.921675Z,2024-01-03T22:04:08Z,HIGH
com.alibaba.nacos:nacos-spring-context,CVE-2023-39106,HIGH,0.2.1-RC1,1.1.1,2018-09-21 22:30:42,2021-07-14 09:25:13,"1026 days, 10:54:31",GHSA-v6c8-pwhq-288m,CVE-2023-39106,2024-02-16T08:23:35.689660Z,2023-08-21T18:31:23Z,HIGH
com.alibaba.nacos:nacos-client,CVE-2021-43116,HIGH,0.1.0,1.4.5,2018-07-20 05:06:15,2023-03-17 04:40:01,"1700 days, 23:33:46",GHSA-2g86-r6w2-wqqr,CVE-2021-43116,2023-11-08T04:07:08.866217Z,2022-07-06T00:00:30Z,HIGH
com.alipay.sofa:rpc-sofa-boot-starter,CVE-2024-23636,CRITICAL,5.3.0,3.22.0,2018-04-15 08:07:52,2024-01-24 23:23:36,"2110 days, 15:15:44",GHSA-7q8p-9953-pxvr,CVE-2024-23636,2024-02-16T08:13:01.857139Z,2024-01-23T20:10:20Z,CRITICAL
com.alibaba:dubbo,CVE-2021-25641,CRITICAL,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57",GHSA-v2rg-8cwr-75g8,CVE-2021-25641,2023-11-08T04:05:15.584119Z,2022-03-18T17:56:08Z,CRITICAL
com.alibaba:dubbo,CVE-2022-24969,MODERATE,2.5.1,2.6.11,2012-08-21 23:36:10,2021-09-14 06:15:55,"3310 days, 6:39:45",GHSA-gm48-83x4-84jg,CVE-2022-24969,2023-11-08T04:08:40.767472Z,2022-06-10T00:00:56Z,MODERATE
com.alibaba:dubbo,CVE-2021-30179,CRITICAL,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57",GHSA-5mc7-m686-p6jg,CVE-2021-30179,2023-11-08T04:05:45.605677Z,2022-03-18T17:57:32Z,CRITICAL
com.alibaba:dubbo,CVE-2021-30181,CRITICAL,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57",GHSA-qmfc-6www-fjqw,CVE-2021-30181,2023-11-08T04:05:45.725183Z,2022-03-18T17:57:04Z,CRITICAL
com.alibaba:dubbo,CVE-2021-25640,MODERATE,2.5.1,2.6.8,2012-08-21 23:36:10,2020-03-09 17:29:07,"2756 days, 17:52:57",GHSA-gw4j-4229-q4px,CVE-2021-25640,2023-11-08T04:05:15.522758Z,2022-03-18T17:56:45Z,MODERATE
com.alibaba:fastjson,CVE-2022-25845,HIGH,1.2.25,1.2.67_noneautotype2,2017-03-09 20:02:49,2022-09-18 18:06:30,"2018 days, 22:03:41",GHSA-pv7h-hx5h-mgfj,CVE-2022-25845,2024-09-03T04:42:08.342397Z,2022-06-11T00:00:17Z,HIGH
com.alibaba:fastjson,CVE-2017-18349,CRITICAL,1.1.15,1.1.70.android_noneautotype,2012-02-06 23:40:07,2024-01-08 16:54:29,"4353 days, 17:14:22",GHSA-xjrr-xv9m-4pw5,CVE-2017-18349,2024-02-16T07:59:10.562257Z,2018-10-24T19:42:03Z,CRITICAL
com.alibaba.nacos:nacos-common,CVE-2020-19676,MODERATE,0.1.0,1.2.0-beta.1,2018-07-20 05:05:38,2020-02-20 19:59:41,"580 days, 14:54:03",GHSA-qf76-pr7x-h7r4,CVE-2020-19676,2023-11-08T04:02:47.682625Z,2021-08-02T16:38:01Z,MODERATE
