Unnamed: 0,artifact_name,release_version,timestamp,cve_id,cve_severity,clean_release_version,Exists_in_latest_releases
73,com.diamondq.common:common-thirdparty.jcasbin,1.4.0,2020-03-15,CVE-2021-29425,MODERATE,1.4.0,True
74,com.diffplug.gradle:goomph,3.37.1,2022-06-25,CVE-2022-26049,HIGH,3.37.1,False
75,com.diffplug.spotless:spotless-eclipse-cdt,9.4.3,2018-08-08,CVE-2019-10753,MODERATE,9.4.3,False
76,com.diffplug.spotless:spotless-eclipse-groovy,3.0.0,2018-09-03,CVE-2019-10753,MODERATE,3.0.0,False
77,com.diffplug.spotless:spotless-eclipse-wtp,3.9.5,2018-08-08,CVE-2019-10753,MODERATE,3.9.5,False
78,com.diffplug.spotless:spotless-maven-plugin,1.19.0,2019-03-11,CVE-2019-9843,HIGH,1.19.0,False
79,com.diffplug.spotless:spotless-plugin-gradle,3.19.0,2019-03-11,CVE-2019-9843,HIGH,3.19.0,False
80,com.drewnoakes:metadata-extractor,2.17.0,2022-03-16,CVE-2022-24613,MODERATE,2.17.0,False
81,com.ds.tools.hudson:crowd,1.1,2010-05-19,CVE-2019-1003097,MODERATE,1.1,False
82,com.epam.reportportal:service-api,5.8.0,2023-05-11,CVE-2023-25822,MODERATE,5.8.0,False
83,com.erudika:para-core,1.45.10,2022-05-13,CVE-2022-1848,MODERATE,1.45.10,False
84,com.esotericsoftware.yamlbeans:yamlbeans,1.15,2020-08-12,CVE-2023-24621,HIGH,1.15,False
85,com.exadel.flamingo.flex:amf-serializer,1.5.0,2008-04-29,CVE-2017-3202,CRITICAL,1.5.0,True
86,com.facebook.presto:presto-jdbc,0.283,2023-08-08,UNKNOWN,HIGH,0.283,False
87,com.fastasyncworldedit:FastAsyncWorldEdit-Bukkit,2.6.2,2023-06-07,CVE-2023-35925,MODERATE,2.6.2,False
88,com.fastasyncworldedit:FastAsyncWorldEdit-Core,2.6.2,2023-06-07,CVE-2023-35925,MODERATE,2.6.2,False
89,com.fasterxml.jackson.core:jackson-databind,2.13.4.1,2022-10-12,CVE-2022-42003,HIGH,2.13.4.1,False
90,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,2.12.0-rc2,2020-11-14,CVE-2020-28491,HIGH,2.12.0,False
91,com.fasterxml.jackson.dataformat:jackson-dataformat-xml,2.8.3,2016-09-17,CVE-2016-7051,HIGH,2.8.3,False
92,com.fasterxml.jackson.dataformat:jackson-dataformats-text,2.15.0-rc3,2023-04-14,CVE-2023-3894,HIGH,2.15.0,False
93,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.9.7,2018-09-18,CVE-2018-1000873,MODERATE,2.9.7,False
94,com.fasterxml.util:java-merge-sort,1.0.2,2019-09-17,CVE-2022-24913,MODERATE,1.0.2,False
95,com.fasterxml.woodstox:woodstox-core,6.3.1,2022-08-13,CVE-2022-40152,MODERATE,6.3.1,False
96,com.github.binarywang:weixin-java-common,3.3.1.B,2018-12-29,CVE-2019-5312,CRITICAL,3.3.1,False
97,com.github.fracpete:vfsjfilechooser2,0.2.8,2017-03-26,CVE-2021-29061,HIGH,0.2.8,False
98,com.github.jlangch:venice,1.10.16,2022-06-30,CVE-2022-36007,MODERATE,1.10.16,False
99,com.github.junrar:junrar,7.4.0,2020-10-31,CVE-2022-23596,HIGH,7.4.0,False
100,com.github.kevinsawicki:http-request,6.0,2015-01-21,CVE-2019-1010206,MODERATE,6.0,True
101,com.github.kfcfans:powerjob,3.0.0,2021-01-31,CVE-2020-28865,HIGH,3.0.0,True
102,com.github.pagehelper:pagehelper,5.3.0,2021-10-07,CVE-2022-28111,CRITICAL,5.3.0,False
103,com.github.penggle:kaptcha,2.3.2,2015-05-18,CVE-2018-18531,CRITICAL,2.3.2,True
104,com.github.samtools:htsjdk,3.0.0,2022-06-06,CVE-2022-21126,HIGH,3.0.0,False
105,com.github.seancfoley:ipaddress,5.4.0,2022-12-14,UNKNOWN,MODERATE,5.4.0,False
106,com.github.shyiko.ktlint:ktlint-core,0.29.0,2018-10-02,CVE-2019-1010260,HIGH,0.29.0,False
107,com.github.tomakehurst:wiremock-jre8,2.35.0,2022-11-02,CVE-2023-41329,LOW,2.35.0,False
108,com.github.tomakehurst:wiremock-jre8-standalone,2.35.0,2022-11-02,CVE-2023-41329,LOW,2.35.0,False
109,com.github.wxpay:wxpay-sdk,0.0.3,2017-03-15,CVE-2018-13439,HIGH,0.0.3,True
110,com.github:hyavijava,6.0.07.1,2023-03-14,CVE-2023-51084,CRITICAL,6.0.07.1,True
111,com.glazedlists:glazedlists,1.11.0,2018-01-09,CVE-2023-31890,CRITICAL,1.11.0,True
112,com.google.cloud.tools:jib-core,0.21.0,2022-03-29,CVE-2022-25914,CRITICAL,0.21.0,False
113,com.google.code.gson:gson,2.8.8,2021-08-20,CVE-2022-25647,HIGH,2.8.8,False
114,com.google.crypto.tink:tink,1.4.0-rc2,2020-05-15,CVE-2020-8929,LOW,1.4.0,False
115,com.google.gerrit:gerrit-plugin-api,3.2.4,2020-11-12,CVE-2020-8920,LOW,3.2.4,False
116,com.google.guava:guava,31.1-jre,2022-02-28,CVE-2020-8908,LOW,31.1,False
117,com.google.guava:guava-jdk5,17.0-rc2,2014-04-10,CVE-2018-10237,MODERATE,17.0,False
118,com.google.gwt:gwt,2.5.1-rc1,2013-02-05,CVE-2013-4204,MODERATE,2.5.1,False
119,com.google.oauth-client:google-oauth-client,1.33.2,2022-04-07,CVE-2021-22573,HIGH,1.33.2,False
120,com.google.protobuf:protobuf-java,4.28.0,2024-08-28,CVE-2024-7254,HIGH,4.28.0,True
121,com.google.protobuf:protobuf-javalite,4.28.0,2024-08-28,CVE-2024-7254,HIGH,4.28.0,True
122,com.google.protobuf:protobuf-kotlin,4.28.0,2024-08-28,CVE-2024-7254,HIGH,4.28.0,True
123,com.google.protobuf:protobuf-kotlin-lite,4.28.0,2024-08-28,CVE-2024-7254,HIGH,4.28.0,True
124,com.google.protobuf:protobuf-parent,3.3.1,2017-05-15,CVE-2015-5237,HIGH,3.3.1,False
125,com.googlecode.aviator:aviator,5.2.7,2021-08-06,CVE-2021-41862,CRITICAL,5.2.7,False
126,com.googlecode.guava-osgi:guava-osgi,11.0.1,2012-02-04,CVE-2018-10237,MODERATE,11.0.1,True
127,com.googlecode.gwtupload:gwtupload,1.0.3,2015-01-13,CVE-2020-9447,MODERATE,1.0.3,True
128,com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,20200713.1,2020-07-13,CVE-2021-42575,CRITICAL,20200713.1,False
129,com.googlecode.plist:dd-plist,1.17,2017-02-04,CVE-2016-15026,HIGH,1.17,False
130,com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent,8.0.0-M9.1,2018-02-22,CVE-2018-1325,MODERATE,8.0.0,False
131,com.gradle:gradle-enterprise-maven-extension,1.5.3,2020-06-22,CVE-2020-15777,HIGH,1.5.3,False
132,com.graphhopper:graphhopper-nav,2.3,2020-11-26,CVE-2021-29506,MODERATE,2.3,False
133,com.graphhopper:graphhopper-web-bundle,feature_1850_02,2020-01-15,CVE-2021-23408,MODERATE,feature_1850_02,False
134,com.graphql-java:graphql-java,21.4,2024-03-18,CVE-2024-40094,HIGH,21.4,False
135,com.guicedee.services:commons-text,1.2.2.1-jre17,2022-02-10,CVE-2022-42889,CRITICAL,1.2.2.1,True
136,com.guicedee.services:log4j-core,1.2.1.2-jre17,2021-11-15,CVE-2021-44228,CRITICAL,1.2.1.2,False
137,com.h2database:h2,2.1.214,2022-06-14,CVE-2022-45868,HIGH,2.1.214,False
138,com.hazelcast.jet:hazelcast-jet,4.5.3,2021-12-20,CVE-2022-36437,CRITICAL,4.5.3,False
139,com.hazelcast:hazelcast,5.3.4,2023-10-20,CVE-2023-45860,MODERATE,5.3.4,False
140,com.hccake:ballcat-codegen,0.0.1,2020-06-03,CVE-2022-24881,HIGH,0.0.1,True
141,com.helger.commons:ph-json,11.0.4,2023-04-29,CVE-2023-34612,HIGH,11.0.4,False
142,com.hotels.styx:styx-api,styx-1.0.0.beta2,2018-10-31,CVE-2020-6858,MODERATE,styx-1.0.0.beta2,False
143,com.hubspot.jinjava:jinjava,2.5.3,2020-03-06,CVE-2020-12668,MODERATE,2.5.3,False
144,com.ibeetl:beetl,3.15.0.RELEASE,2023-03-23,CVE-2023-30331,CRITICAL,3.15.0,False
145,com.ibeetl:beetl-core,3.15.12.RELEASE,2023-12-10,CVE-2024-22533,CRITICAL,3.15.12,False
146,com.intuit.karate:karate-core,1.4.0.RC3,2023-01-08,UNKNOWN,HIGH,1.4.0,False
147,com.itextpdf:itext7-core,7.1.18,2022-12-14,CVE-2022-24198,MODERATE,7.1.18,False
148,com.itextpdf:itextpdf,5.5.13.2,2020-08-28,CVE-2021-43113,CRITICAL,5.5.13.2,False
149,com.jamesmurty.utils:java-xmlbuilder,1.1,2014-07-22,CVE-2014-125087,CRITICAL,1.1,False
150,com.jamonapi:jamon,2.79,2014-08-19,CVE-2013-6235,MODERATE,2.79,False
151,com.jason-goodwin:authentikat-jwt_2.12,0.4.5,2017-01-11,CVE-2017-18239,CRITICAL,0.4.5,True
152,com.jayway.jsonpath:json-path,2.8.0,2023-03-26,CVE-2023-51074,MODERATE,2.8.0,False
153,com.jcraft:jsch,0.1.53,2015-06-05,CVE-2016-5725,MODERATE,0.1.53,False
154,com.jfinal:jfinal,5.0.8,2022-12-10,CVE-2022-33113,MODERATE,5.0.8,False
155,com.jflyfox:jflyfox_jfinal,4.5.0,2017-05-01,CVE-2023-30349,CRITICAL,4.5.0,True
156,com.jsoniter:jsoniter,0.9.23,2018-07-02,UNKNOWN,HIGH,0.9.23,True
157,com.kitfox.svg:svg-salamander,1.0,2006-11-05,CVE-2017-5617,HIGH,1.0,True
158,com.liferay.portal:com.liferay.portal.kernel,4.35.2,2019-11-04,CVE-2020-7961,CRITICAL,4.35.2,False
159,com.liferay.portal:portal-impl,6.2.5,2016-01-14,CVE-2010-5327,HIGH,6.2.5,True
160,com.liferay.portal:portal-service,6.2.5,2016-01-14,CVE-2010-5327,HIGH,6.2.5,True
161,com.liferay.portal:release.dxp.bom,2023.q3.5,2024-01-18,CVE-2023-42496,CRITICAL,2023,False
162,com.liferay.portal:release.portal.bom,7.4.3.101,2023-11-06,CVE-2023-47795,CRITICAL,7.4.3.101,False
163,com.liferay:com.liferay.portal.tools.bundle.support,3.7.3,2021-05-04,CVE-2018-1324,MODERATE,3.7.3,False
164,com.liferay:com.liferay.sass.compiler.jsass,1.0.1,2019-10-31,CVE-2021-29425,MODERATE,1.0.1,True
165,com.linecorp.armeria:armeria,1.24.2,2023-06-27,CVE-2023-38493,HIGH,1.24.2,False
166,com.linecorp.armeria:armeria-saml,1.27.1,2024-02-06,CVE-2024-1735,CRITICAL,1.27.1,False
167,com.linecorp.centraldogma:centraldogma-server,0.64.0,2024-02-01,CVE-2024-1143,CRITICAL,0.64.0,False
168,com.linecorp.centraldogma:centraldogma-server-auth-saml,0.64.2,2024-02-06,UNKNOWN,CRITICAL,0.64.2,False
169,com.lowagie:itext,4.2.2,2015-07-10,CVE-2017-9096,HIGH,4.2.2,True
170,com.manydesigns:portofino,5.3.2,2022-05-10,CVE-2022-3952,HIGH,5.3.2,False
171,com.manydesigns:portofino-core,5.2.0,2020-11-28,CVE-2021-29451,CRITICAL,5.2.0,False
172,com.manydesigns:portofino-dispatcher,5.2.0,2020-11-28,CVE-2021-29451,CRITICAL,5.2.0,False
173,com.mapbox.mapboxsdk:mapbox-android-core,4.0.0,2021-03-05,CVE-2022-38216,HIGH,4.0.0,True
174,com.mchange:c3p0,0.9.5-pre10,2014-11-06,CVE-2019-5427,HIGH,0.9.5,False
175,com.microsoft.azure:msal4j,1.15.0,2024-03-26,CVE-2024-35255,MODERATE,1.15.0,False
176,com.microsoft.commondatamodel:objectmodel,1.7.3,2023-07-11,CVE-2023-36566,MODERATE,1.7.3,False
177,com.mikesamuel:json-sanitizer,1.2.1,2020-06-07,CVE-2021-23900,HIGH,1.2.1,False
178,com.monitorjbl:xlsx-streamer,2.0.0,2018-10-10,CVE-2022-23640,CRITICAL,2.0.0,False
179,com.mtvi.plateng.hudson:ldapemail,0.6,2010-05-19,CVE-2019-10434,LOW,0.6,False
180,com.mysql:mysql-connector-j,8.1.0,2023-07-13,CVE-2023-22102,HIGH,8.1.0,False
181,com.nablarch.framework:nablarch-fw-web,1.5.0,2018-03-18,CVE-2019-5919,CRITICAL,1.5.0,False
182,com.neovisionaries:nv-websocket-client,2.0,2017-04-21,CVE-2017-1000209,MODERATE,2.0,False
183,com.nepxion:discovery,6.16.2,2022-09-20,CVE-2022-23463,CRITICAL,6.16.2,False
184,com.netflix.conductor:conductor-core,2.25.3,2020-02-24,CVE-2020-9296,CRITICAL,2.25.3,False
185,com.netflix.genie:genie-web,4.3.17,2024-05-07,CVE-2024-4701,CRITICAL,4.3.17,False
186,com.netflix.hollow:hollow,6.1.0,2021-03-09,CVE-2021-28099,MODERATE,6.1.0,False
187,com.netflix.priam:priam,3.1.104,2021-03-23,CVE-2021-28100,MODERATE,3.1.104,False
188,com.networknt:light-oauth2,2.1.26,2023-08-17,CVE-2023-31580,MODERATE,2.1.26,False
189,com.nimbusds:nimbus-jose-jwt,9.37.1,2023-11-07,CVE-2023-52428,MODERATE,9.37.1,False
190,com.ning:async-http-client,1.9.0-BETA24,2014-11-28,CVE-2013-7397,MODERATE,1.9.0,False
191,com.opensymphony:xwork,2.1.1,2008-04-01,CVE-2008-6504,MODERATE,2.1.1,False
192,com.orientechnologies:orientdb-core,2.2.22,2017-06-19,CVE-2017-11467,CRITICAL,2.2.22,False
193,com.orientechnologies:orientdb-server,2.1.0,2015-08-05,CVE-2015-2913,MODERATE,2.1.0,False
194,com.owlike:genson,1.6,2019-07-30,CVE-2023-34617,HIGH,1.6,True
195,com.predic8:soa-model-core,1.6.3,2020-10-14,CVE-2021-43090,CRITICAL,1.6.3,False
196,com.predic8:soa-model-parent,1.6.3,2020-10-14,CVE-2021-43090,CRITICAL,1.6.3,False
197,com.progsbase.libraries:JSON,0.4.0,2019-11-07,CVE-2023-34616,HIGH,0.4.0,True
198,com.pubnub:pubnub,4.6.5,2017-06-30,CVE-2023-26154,MODERATE,4.6.5,True
199,com.pubnub:pubnub-kotlin,7.6.0,2023-08-14,CVE-2023-26154,MODERATE,7.6.0,False
200,com.puppycrawl.tools:checkstyle,8.28,2019-12-29,CVE-2019-10782,MODERATE,8.28,False
201,com.rabbitmq.jms:rabbitmq-jms,2.1.1,2020-06-05,CVE-2020-36282,HIGH,2.1.1,False
202,com.rabbitmq:amqp-client,5.17.1,2023-06-29,CVE-2023-46120,MODERATE,5.17.1,False
203,com.sap.cloud.security.xsuaa:spring-xsuaa,3.2.1,2023-10-20,CVE-2023-50422,CRITICAL,3.2.1,False
204,com.sap.cloud.security:java-security,3.2.1,2023-10-20,CVE-2023-50422,CRITICAL,3.2.1,False
205,com.sap.cloud.security:spring-security,3.2.1,2023-10-20,CVE-2023-50422,CRITICAL,3.2.1,False
206,com.sap.scimono:scimono-server,0.0.18,2020-11-05,CVE-2021-21479,HIGH,0.0.18,False
207,com.schibsted.security:strongbox-sdk,0.4.0,2021-05-07,UNKNOWN,MODERATE,0.4.0,False
208,com.shopizer:shopizer,2.16.0,2020-12-26,CVE-2022-23059,MODERATE,2.16.0,True
209,com.shopizer:sm-core-model,2.10.0,2020-03-05,CVE-2020-11007,CRITICAL,2.10.0,False
210,com.softwaremill.akka-http-session:core_2.11,0.5.10,2019-07-24,CVE-2020-7780,MODERATE,0.5.10,False
211,com.softwaremill.akka-http-session:core_2.12,0.6.0,2020-12-11,CVE-2020-28452,HIGH,0.6.0,False
212,com.softwaremill.akka-http-session:core_2.13,0.5.10,2019-07-24,CVE-2020-7780,MODERATE,0.5.10,False
213,com.sonyericsson.hudson.plugins.gerrit:gerrit-trigger,2.2.0,2010-10-07,CVE-2018-1000106,MODERATE,2.2.0,True
214,com.sonyericsson.hudson.plugins.rebuild:rebuild,1.4,2010-09-14,CVE-2023-37954,MODERATE,1.4,False
215,com.sparkjava:spark-core,2.7.1,2017-11-14,CVE-2018-9159,MODERATE,2.7.1,False
216,com.squareup.okhttp3:okhttp,3.1.1,2016-02-07,CVE-2016-2402,MODERATE,3.1.1,False
217,com.squareup.okio:okio,3.3.0,2023-01-07,CVE-2023-3635,MODERATE,3.3.0,False
218,com.squareup.okio:okio-jvm,3.3.0,2023-01-07,CVE-2023-3635,MODERATE,3.3.0,False
219,com.squareup.retrofit2:retrofit,2.4.0,2018-03-14,CVE-2018-1000850,HIGH,2.4.0,False
220,com.squareup:connect,2.20191120.0,2019-11-20,CVE-2021-23331,LOW,2.20191120.0,True
221,com.sun.el:el-ri,1.0,2008-11-10,CVE-2021-28170,MODERATE,1.0,False
222,com.sun.faces:jsf-api,1.2,2012-05-15,CVE-2008-1285,MODERATE,1.2,False
223,com.tencyle.fixes:org.codehaus.jettison--jettison,1.1-tencyle-2.1.0,2023-07-31,UNKNOWN,MODERATE,1.1,True
224,com.thoughtworks.xstream:xstream,1.4.19,2022-01-29,CVE-2022-40151,HIGH,1.4.19,False
225,com.twelvemonkeys.imageio:imageio-metadata,3.7.0,2021-04-24,CVE-2021-23792,CRITICAL,3.7.0,False
226,com.twitter:twitter-server_2.12,20.10.0,2020-10-27,CVE-2020-35774,MODERATE,20.10.0,False
227,com.typesafe.akka:akka-actor_2.11,2.5.15,2018-08-24,CVE-2018-16115,CRITICAL,2.5.15,False
228,com.typesafe.akka:akka-actor_2.12,2.5.15,2018-08-24,CVE-2018-16115,CRITICAL,2.5.15,False
229,com.typesafe.akka:akka-http-core,3.0.0-RC1,2016-10-17,CVE-2021-23339,MODERATE,3.0.0,True
230,com.typesafe.akka:akka-http-core_2.11,10.1.15,2021-11-22,BIT-apisix-2023-44487,MODERATE,10.1.15,True
231,com.typesafe.akka:akka-http-core_2.12,10.5.2,2023-05-05,BIT-apisix-2023-44487,MODERATE,10.5.2,False
232,com.typesafe.akka:akka-http-core_2.13,10.5.2,2023-05-05,BIT-apisix-2023-44487,MODERATE,10.5.2,False
233,com.typesafe.akka:akka-stream-kafka,0.11-M1,2016-04-01,CVE-2023-29471,MODERATE,0.11,True
234,com.typesafe.play:play-ws_2.12,2.6.23,2019-05-14,CVE-2019-17598,HIGH,2.6.23,False
235,com.typesafe.play:play_2.12,2.8.15,2022-03-31,CVE-2022-31018,HIGH,2.8.15,False
236,com.typesafe.play:play_2.13,2.8.15,2022-03-31,CVE-2022-31018,HIGH,2.8.15,False
237,com.unboundid:unboundid-ldapsdk,4.0.4,2018-01-22,CVE-2018-1000134,CRITICAL,4.0.4,False
238,com.upokecenter:cbor,4.5,2021-12-09,CVE-2024-23684,HIGH,4.5,False
239,com.usthe.sureness:sureness-core,1.0.7,2022-02-18,CVE-2023-31581,CRITICAL,1.0.7,False
240,com.vaadin:flow-client,6.0.4,2021-03-31,UNKNOWN,MODERATE,6.0.4,False
241,com.vaadin:flow-server,24.0.8,2023-05-23,CVE-2023-25500,LOW,24.0.8,False
242,com.vaadin:vaadin,24.0.6,2023-06-07,CVE-2023-25500,LOW,24.0.6,False
243,com.vaadin:vaadin-bom,20.0.5,2021-07-26,UNKNOWN,MODERATE,20.0.5,False
