artifact,scm_url,github_url,github_api_url,github_owner,github_repo,invalidGithubUrl,nonGithubLinkFound,scmLinkNotFound,pomNotFound,invalidArtifactFormat
br.com.jarch.dsfnet:javaee-archetype,https://wesainf@bitbucket.org/wesainf/jarch-dsfnet-archetype.git,,,,,,True,,,
au.gov.amsa:ais-ship-data-2014,${scm.url},,,,,,True,,,
br.com.jslsolucoes:tagria-lib,http://svn.jslsolucoes.com/tagria-lib/tags/tagria-lib-2.0.5,,,,,,True,,,
app.pivo:ndisdk,https://gitlab.com/h2536/ndi-sdk-for-android/-/tree/main,,,,,,True,,,
ai.engagely:openbot,https://gitlab.com/expo3/android-sdk,,,,,,True,,,
at.ac.ait.fmipp:imp,https://sourceforge.net/p/fmipp/code/ci/master/tree/,,,,,,True,,,
at.iem:sysson_2.11,git@git.iem.at:sysson/SysSon.git,,,,,,True,,,
br.com.c8tech.releng:fpom-itests-paxexam,${c8tech.scm.url},,,,,,True,,,
be.yildiz-games:component-native-freetype,https://bitbucket.org/yildiz-engine-team/component-native-freetype,,,,,,True,,,
br.com.rhfactor:communs,https://bitbucket.org/rhfactor/communs,,,,,,True,,,
br.com.jarch:jarch-bom,https://wesainf@bitbucket.org/jarchcode/jarch.git,,,,,,True,,,
be.yildiz-games:bom-junit,https://bitbucket.org/yildiz-engine-team/bom-junit,,,,,,True,,,
at.datenwort.commons:sql-completion,https://gitlab.com/datenwort.at/commons/sql-completion/-/tree/main,,,,,,True,,,
br.com.flexait:flexa-core,git@bitbucket.org:flexait/flexa-core,,,,,,True,,,
ai.turbolink.sdk:TurboLink-Android-SDK,http://bitbucket.org/turbolink/TurboLink-Android-SDK,,,,,,True,,,
br.com.perolasoftware.framework:aggregator-perola-components-crudextensions,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
be.yildiz-games:feature-city-server,https://bitbucket.org/yildiz-engine-team/feature-city-server,,,,,,True,,,
be.cylab:jsonrpc4j,git@gitlab.cylab.be:cylab/jsonrpc4j.git,,,,,,True,,,
ai.nextbillion:nb-kits-turf,https://src.nextbillion.io/mobile/nb-kits,,,,,,True,,,
br.com.c8tech.releng:fpom-deps-osgi,${c8tech.scm.url},,,,,,True,,,
ai.nextbillion:android-maps-sdk,https://git.nextbillion.io/mobile/maps-sdk,,,,,,True,,,
be.yildiz-games:module-graphic-ogre,https://bitbucket.org/yildiz-engine-team/module-graphic-ogre,,,,,,True,,,
ai.nextbillion:nb-nav-shields,https://git.nextbillion.io/mobile/nb-navigation-android,,,,,,True,,,
br.com.ingenieux.launchify:launchify-parent,http://bitbucket.org/ingenieux/launchify,,,,,,True,,,
br.com.devires.framework.boot:devires-framework-audit,https://gitlab.com/devires-framework-boot/devires-framework-boot-audit,,,,,,True,,,
br.com.c8tech.releng:fpom-deps-felix,${c8tech.scm.url},,,,,,True,,,
br.com.c8tech.tools:c8tech-tools-maven-pom,${c8tech.scm.url},,,,,,True,,,
at.bestsolution.efxclipse.ide:org.eclipse.fx.ide.l10n,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/tooling/org.eclipse.fx.ide.l10n,,,,,,True,,,
ai.systema:systema-sdk-android,https://bitbucket.org/systema-ai/systema-sdk.git,,,,,,True,,,
ai.nextbillion:nbmap-sdk-core,https://git.nextbillion.io/mobile/nb-gestures,,,,,,True,,,
br.com.neppo.jlibs:exceptions,https://bitbucket.org/neppo/java-exceptions/src,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.fx.text,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/code/org.eclipse.fx.text,,,,,,True,,,
be.yildiz-games:bom-swt,https://bitbucket.org/yildiz-engine-team/bom-swt,,,,,,True,,,
ai.nextbillion:nbmap-sdk-api,https://git.nextbillion.io/mobile/nb-gestures,,,,,,True,,,
be.yildiz-games:common-jni,https://bitbucket.org/yildiz-engine-team/common-jni,,,,,,True,,,
br.com.ingenieux:elasticbeanstalk-wrapper-webapp-archetype,scm:hg:http://bitbucket.org/aldrinleal/beanstalker,,,,,,True,,,
ai.nextbillion:nb-kits-geojson,https://src.nextbillion.io/mobile/nb-kits,,,,,,True,,,
br.com.neomode.httploader:neomodeHTTPLoader,https://johneses@gitlab.com/neomode-modules/http-loader-android.git,,,,,,True,,,
be.yildiz-games:component-native-flac,https://bitbucket.org/yildiz-engine-team/component-native-flac,,,,,,True,,,
berlin.yuna:and-wait-matcher,${git-project.url}.git,,,,,,True,,,
br.com.perolasoftware.framework.components:annotation-filter-jpa2,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
be.yildiz-games:component-native-openal,https://bitbucket.org/yildiz-engine-team/component-native-openal,,,,,,True,,,
au.net.causal.maven.plugins:browserbox-parent,https://bitbucket.org/prunge/browserbox-maven-plugin/src,,,,,,True,,,
be.yildiz-games:feature-resource-shared,https://bitbucket.org/yildiz-engine-team/feature-resources-shared,,,,,,True,,,
br.com.perolasoftware.framework:framework-web,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
be.cylab:mongo-mail,git@gitlab.cylab.be:cylab/mongo-mail.git,,,,,,True,,,
be.yildiz-games:module-window-swt-win64,https://bitbucket.org/yildiz-engine-team/module-window-swt-win64,,,,,,True,,,
be.yildiz-games:common-gameobject,https://bitbucket.org/yildiz-engine-team/common-gameobject,,,,,,True,,,
be.yildiz-games:common-exception,https://bitbucket.org/yildiz-engine-team/common-exception,,,,,,True,,,
be.yildiz-games:module-graphic-ogre-linux64,https://bitbucket.org/yildiz-engine-team/module-graphic-ogre-linux64,,,,,,True,,,
br.com.objectos:jabuticava-bvmf-fi,scm:git:git://objectos/way-bvmf-fi.git,,,,,,True,,,
au.com.azupay.sdk:library,https://www.azupay.com.au/,,,,,,True,,,
br.com.perolasoftware.framework:aggregator-perola-components-jsfcomponents,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
be.yildiz-games:engine-client-addon-ui,https://bitbucket.org/yildiz-engine-team/engine-client-addon-ui,,,,,,True,,,
app.microkit:microkit-java-server-sdk,https://bitbucket.org/micro-kit/microkit-kotlin-sdk/src/master/,,,,,,True,,,
ai.scandoc:flutter_release,https://gitlab.com/datablastdev/Protel/flutter-sdk/,,,,,,True,,,
be.personify.iam:personify-model,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
be.personify.iam:personify-scim-server,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
ai.nextbillion:nb-asset-network,https://src.nextbillion.io/mobile/nb-asset-tracking-android,,,,,,True,,,
ai.nextbillion:nb-kits-api,https://src.nextbillion.io/mobile/nb-kits,,,,,,True,,,
au.net.causal.maven.plugins:docker-image-archive-maven-plugin,https://bitbucket.org/prunge/docker-image-archive-maven-plugin/src,,,,,,True,,,
ai.olami:olami-android-client,https://olami.ai,,,,,,True,,,
be.yildiz-games:feature-research-shared,https://bitbucket.org/yildiz-engine-team/feature-research-shared,,,,,,True,,,
be.yildiz-games:feature-construction-shared,https://bitbucket.org/yildiz-engine-team/feature-construction-shared,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.fx.core.di,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/runtime/org.eclipse.fx.core.di,,,,,,True,,,
bd.com.shurjopay.plugin:sp-plugin-spring,${github.url}/spring-multitenancy,,,,,,True,,,
be.yildiz-games:component-native-ogg,https://bitbucket.org/yildiz-engine-team/component-native-ogg,,,,,,True,,,
be.yildiz-games:authentication,https://bitbucket.org/yildiz-engine-team/authentication,,,,,,True,,,
be.yildiz-games:bom-lombok,https://bitbucket.org/yildiz-engine-team/bom-lombok,,,,,,True,,,
be.yildiz-games:module-physics-bullet-win64,https://bitbucket.org/yildiz-engine-team/module-physics-bullet-win64,,,,,,True,,,
br.com.anteros:anteros-spring-android,http://www.anteros.com.br,,,,,,True,,,
at.ipsquare:commons-pom,http://sourceforge.net/p/ipsquarecommons/code,,,,,,True,,,
br.com.devires.framework.boot:devires-framework-boot-commons,https://gitlab.com/devires-framework-boot/devires-framework-boot-commons,,,,,,True,,,
app.knock.api:knock-client,https://knock.app/,,,,,,True,,,
ai.nextbillion:nb-kits-core,https://src.nextbillion.io/mobile/nb-kits,,,,,,True,,,
br.com.address.archetypes:struts2-base-archetype,http://bitbucket.org/gbisconcini/struts2-base,,,,,,True,,,
au.gov.amsa:fgb-decoder,${scm.url},,,,,,True,,,
br.com.ingenieux:cloudy,http://bitbucket.org/ingenieux/cloudy,,,,,,True,,,
biz.source_code:base64coder,http://svn.source-code.biz/viewvc/base64coder-java/trunk/,,,,,,True,,,
berlin.yuna:maven-oss-parent,${git-parent-project.url}.git,,,,,,True,,,
be.ac.umons.sgl:mom,https://bitbucket.org/umonssel/mom-api.git,,,,,,True,,,
be.cylab:java-wowa-training,git@gitlab.cylab.be:cylab/java-wowa-training.git,,,,,,True,,,
br.com.perolasoftware.framework:framework-facade,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
ai.nextbillion:nb-asset-tracking,https://src.nextbillion.io/mobile/nb-asset-tracking-android,,,,,,True,,,
be.personify:personify-audit,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
ai.superstream:superstream-java,https://superstream.ai,,,,,,True,,,
au.net.causal.maven.plugins:html2pdf-maven-plugin,https://bitbucket.org/prunge/html2pdf-maven-plugin/src,,,,,,True,,,
au.net.ocean.maven.plugin:maven-plugin-annotations,http://fisheye.ocean.net.au/browse/maven-plugin-annotations/tags/maven-plugin-annotations-1.0,,,,,,True,,,
br.com.neppo.jlibs:rest-consumer-base,https://bitbucket.org/neppo/java-rest-consumer-base/src,,,,,,True,,,
at.borkowski.prefetch-simulation:prefetch-simulation,${scm-url},,,,,,True,,,
br.com.getmo:smartpromo,https://bitbucket.org/username/mavenpublishlibrary/src/master/,,,,,,True,,,
ai.nextbillion:nbmap-sdk-turf,https://git.nextbillion.io/mobile/nb-gestures,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.jdt.annotation,http://git.eclipse.org/c/jdt/eclipse.jdt.core.git/tree/org.eclipse.jdt.annotation,,,,,,True,,,
br.com.anteros.social:anteros-social-android-core,http://www.anteros.com.br,,,,,,True,,,
ai.nextbillion:android-sdk,https://git.nextbillion.io/mobile/maps-sdk,,,,,,True,,,
au.net.ocean.security.auth.gss:auth-gss,http://fisheye.ocean.net.au/browse/auth-gss/tags/auth-gss-1.4,,,,,,True,,,
br.com.perolasoftware.framework:aggregator-perola-framework-core,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
au.net.causal.groovysh-windows-fix:groovysh-windows-fix,https://bitbucket.org/prunge/groovysh-windows-fix/src,,,,,,True,,,
au.net.causal.shoelaces:shoelaces-parent,https://bitbucket.org/prunge/shoelaces/src,,,,,,True,,,
br.com.objectos.oss-java16:objectos,https://www.objectos.com.br/kdo/,,,,,,True,,,
be.yildiz-games:feature-research-server,https://bitbucket.org/yildiz-engine-team/feature-research-server,,,,,,True,,,
app.pivo:micsdk,https://gitlab.com/nextaeonlabs/pivo_headset_test_app_android.git,,,,,,True,,,
br.com.ingenieux:mapreduce-maven-plugin,scm:hg:http://bitbucket.org/aldrinleal/beanstalker,,,,,,True,,,
au.gov.amsa:sgb-decoder,${scm.url},,,,,,True,,,
be.yildiz-games:component-native-ogre3d,https://bitbucket.org/yildiz-engine-team/component-native-ogre3d,,,,,,True,,,
be.uantwerpen.adrem:fim-measures,https://gitlab.com/adrem/fim-measure.git,,,,,,True,,,
art.rightbrain.tool.vega:vega_api,https://gitee.com/youruoxu/vega-ai-sdk,,,,,,True,,,
be.yildiz-games:feature-entity-server,https://bitbucket.org/yildiz-engine-team/feature-entity-server,,,,,,True,,,
be.personify.iam:personify-frontend,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
br.com.objectos:way-bvmf-fi,scm:git:git://objectos/way-bvmf-fi.git,,,,,,True,,,
br.com.address.archetypes:struts2-archetype,http://bitbucket.org/gbisconcini/struts2-archetype,,,,,,True,,,
be.yildiz-games:bom-connectorj,https://bitbucket.org/yildiz-engine-team/bom-connectorj,,,,,,True,,,
br.com.objectos:way-bvmf-cri,scm:git:git://objectos/way-bvmf-cri.git,,,,,,True,,,
br.com.anteros.social:anteros-social-android-twitter,http://www.anteros.com.br,,,,,,True,,,
br.com.laboratoriodogragas:springlogger-logger,https://gitlab.com/fehpined0-study/customspringlogger,,,,,,True,,,
be.novelfaces:novelfaces,http://novelfaces.googlecode.com/svn/tags/novelfaces-0.2.1,,,,,,True,,,
at.newmedialab.ldpath:ldpath-core-bundle,http://code.google.com/p/ldpath/,,,,,,True,,,
br.com.ingenieux.maven.annomojo:org.jfrog.maven.maven-plugin-anno-parent,http://subversion.jfrog.org/jfrog/mvn-anno-mojo/trunk,,,,,,True,,,
ai.superstream:kafka-clients,https://superstream.ai,,,,,,True,,,
br.com.perolasoftware.framework:aggrgator-perola-components-maven,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
biz.freshcode.b-generation:b-generation,git@git.assembla.com:b-generation.git,,,,,,True,,,
bd.com.shurjomukhi:sp-plugin-spring,${github.url},,,,,,True,,,
br.com.jarch:jarch,https://wagner-wesa@bitbucket.org/jarchcode/jarch.git,,,,,,True,,,
be.yildiz-games:component-native-sndio,https://bitbucket.org/yildiz-engine-team/component-native-sndio,,,,,,True,,,
at.datenwort.commons:jmodel2ts,https://gitlab.com/datenwort.at/commons/jmodel2ts/-/tree/main,,,,,,True,,,
ai.systema:systema-sdk,https://bitbucket.org/systema-ai/systema-sdk.git,,,,,,True,,,
be.yildiz-games:component-native-jpeg,https://bitbucket.org/yildiz-engine-team/component-native-jpeg,,,,,,True,,,
asia.redact.bracket.properties:java-serializer,http://bracket-properties.googlecode.com/svn/trunk/java-serializer,,,,,,True,,,
br.com.ingenieux.cloudy:cloudy-parent,http://bitbucket.org/ingenieux/cloudy,,,,,,True,,,
be.yildiz-games:component-native-physicsfs,https://bitbucket.org/yildiz-engine-team/component-native-physicsfs,,,,,,True,,,
br.com.ingenieux.cedarhero:cedarhero,http://bitbucket.org/ingenieux/cedarhero,,,,,,True,,,
br.com.clearsale:sdk-behavior,https://vstscs.visualstudio.com/Produtos-Agile/_git/BehaviorAnalytics.SDK.Android,,,,,,True,,,
br.com.anteros:anteros-core-android,http://www.anteros.com.br,,,,,,True,,,
be.yildiz-games:module-physics-bullet-linux64,https://bitbucket.org/yildiz-engine-team/module-physics-bullet-linux64,,,,,,True,,,
be.yildiz-games:component-native-libsndfile,https://bitbucket.org/yildiz-engine-team/component-native-libsndfile,,,,,,True,,,
br.com.neppo.jlibs:jira-client,https://bitbucket.org/neppo/java-jira-lib/src,,,,,,True,,,
be.yildiz-games:module-vfs-physfs-win64,https://bitbucket.org/yildiz-engine-team/module-vfs-physfs-win64,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.fx.ui.animation,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/runtime/org.eclipse.fx.ui.animation,,,,,,True,,,
br.com.itsme:commons,https://gitlab.com/jhonyscamachoitsme/commons.git,,,,,,True,,,
br.com.objectos.oss-java17:objectos,https://www.objectos.com.br/kdo/,,,,,,True,,,
be.yildiz-games:common-mapping,https://bitbucket.org/yildiz-engine-team/common-mapping,,,,,,True,,,
be.yildiz-games:feature-entity-modular-shared,https://bitbucket.org/yildiz-engine-team/feature-entity-modular-shared,,,,,,True,,,
br.com.ingenieux:simpledb-maven-plugin,scm:hg:http://bitbucket.org/aldrinleal/beanstalker,,,,,,True,,,
at.borkowski.scovillej:scovillej,${scm-url},,,,,,True,,,
ai.nextbillion:nb-maps-android,https://git.nextbillion.io/mobile/maps-sdk,,,,,,True,,,
be.yildiz-games:common-shared,https://bitbucket.org/yildiz-engine-team/common-shared,,,,,,True,,,
be.yildiz-games:module-physics-bullet,https://bitbucket.org/yildiz-engine-team/module-physics-bullet,,,,,,True,,,
br.com.neomode.formvalidation:neomodeValidationForm,https://gitlab.com/neomode-modules/validation-form-android,,,,,,True,,,
br.com.getmo:smartpush,https://bitbucket.org/username/mavenpublishlibrary/src/master/,,,,,,True,,,
br.com.anteros.social:anteros-social-android-instagram,http://www.anteros.com.br,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.e4.core.di.annotations,http://git.eclipse.org/c/equinox/rt.equinox.bundles.git/tree/bundles/org.eclipse.equinox.common,,,,,,True,,,
be.yildiz-games:component-native-boost,https://bitbucket.org/yildiz-engine-team/component-native-boost,,,,,,True,,,
ai.nextbillion:nbmap-sdk-directions-models,https://git.nextbillion.io/mobile/nb-gestures,,,,,,True,,,
ai.marsview:extension,https://gitlab.com/phani8/agoramarsviewmarketplace.git,,,,,,True,,,
be.mjosoft:MjoSoft-APNService,http://bitbucket.org/marcjordant/mjosoft-apnservice,,,,,,True,,,
at.reilaender.asciidoctorj.bootconfig2adoc:bootconfig2adoc,https://gitlab.com/mreilaender/bootconfig2adoc,,,,,,True,,,
be.yildiz-games:bom-scripting,https://bitbucket.org/yildiz-engine-team/bom-scripting,,,,,,True,,,
ar.com.hjg:pngj,http://code.google.com/p/pngj/source/browse,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.fx.core,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/runtime/org.eclipse.fx.core,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.fx.ui.panes,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/runtime/org.eclipse.fx.ui.panes,,,,,,True,,,
at.ac.ait.fmipp:libfmipp,https://sourceforge.net/p/fmipp/code/ci/master/tree/,,,,,,True,,,
br.com.perolasoftware.framework:framework-parent,http://sourceforge.net/p/perolajavafw/code/ci/master/tree/03-Implementacao/${project.artifactId},,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.fx.text.compat,http://git.eclipse.org/c/efxclipse/org.eclipse.efxclipse.git/tree/bundles/code/org.eclipse.fx.text,,,,,,True,,,
ai.nextbillion:nb-gestures,https://git.nextbillion.io/mobile/nb-gestures,,,,,,True,,,
ai.nextbillion:nb-navigation-android,https://git.nextbillion.io/mobile/nb-navigation-android,,,,,,True,,,
br.com.c8tech.tools:c8tech.tools.maven.library.mojo,${c8tech.scm.url},,,,,,True,,,
ai.mobid:android.sdk,https://gitlab.com/mobid1/mobid-android-sdk,,,,,,True,,,
be.yildiz-games:module-window-swt,https://bitbucket.org/yildiz-engine-team/module-window-swt,,,,,,True,,,
ai.nextbillion:gradle,https://git.nextbillion.io/mobile/nb-navigation-android,,,,,,True,,,
be.yildiz-games:common-mapping-model,https://bitbucket.org/yildiz-engine-team/common-mapping-model,,,,,,True,,,
br.com.ingenieux.hadoop:hive-genericmr,http://bitbucket.org/ingenieux/hive-genericmr,,,,,,True,,,
br.com.perolasoftware.framework:framework-parent-jar,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
br.com.objectos:jabuticava-bvmf-cri,scm:git:git://objectos/way-bvmf-cri.git,,,,,,True,,,
bd.ac.seu.erp:model,https://gitlab.com/seu-erp/hr-module.git,,,,,,True,,,
br.com.anteros:anteros-hardware-android,http://www.anteros.com.br,,,,,,True,,,
br.com.c8tech.releng:maven-parent-java,${c8tech.scm.url},,,,,,True,,,
br.com.behaviortest:behavior-test-model,https://svn.apache.org/viewvc/maven,,,,,,True,,,
br.com.anteros:anteros-installer-android,http://www.anteros.com.br,,,,,,True,,,
br.com.anteros:anteros-persistence-android,http://www.anteros.com.br,,,,,,True,,,
au.net.causal.projo:projo-parent,https://bitbucket.org/prunge/projo/src,,,,,,True,,,
be.yildiz-games:feature-city-shared,https://bitbucket.org/yildiz-engine-team/feature-city-shared,,,,,,True,,,
br.com.c8tech.tools:osgi-subsystem-maven-plugin,${c8tech.scm.url},,,,,,True,,,
br.com.c8tech.releng:fpom-deps-equinox,${c8tech.scm.url},,,,,,True,,,
br.com.jarch:dsfnet-javaee-archetype,https://wesainf@bitbucket.org/wesainf/dsfnet-jarch-archetype.git,,,,,,True,,,
be.yildiz-games:module-audio-openal-linux64,https://bitbucket.org/yildiz-engine-team/module-audio-openal-linux64,,,,,,True,,,
at.ipsquare:ipsquare-commons-parent,http://sourceforge.net/p/ipsquarecommons/code,,,,,,True,,,
at.iem:sysson_2.12,git@git.iem.at:sysson/SysSon.git,,,,,,True,,,
be.yildiz-games:bom-netty,https://bitbucket.org/yildiz-engine-team/bom-netty,,,,,,True,,,
br.com.anteros.social:anteros-social-android-google,http://www.anteros.com.br,,,,,,True,,,
au.net.causal.maven.plugins:browserbox-browser-versions,https://bitbucket.org/prunge/browserbox-browser-versions/src,,,,,,True,,,
at.bestsolution.eclipse:com.ibm.icu.base,http://git.eclipse.org/c/platform/eclipse.platform.text.git/tree/org.eclipse.text,,,,,,True,,,
au.net.ocean.maven.plugin:maven-plugin-tools,http://fisheye.ocean.net.au/browse/maven-plugin-tools/tags/maven-plugin-tools-1.2,,,,,,True,,,
au.com.alderaan:eclipselink-staticweave-maven-plugin,http://code.google.com/p/eclipselink-staticweave-maven-plugin/source/browse/tags/eclipselink-staticweave-maven-plugin-1.0.4,,,,,,True,,,
be.cylab:java-roc,git@gitlab.cylab.be:cylab/java-roc.git,,,,,,True,,,
br.com.c8tech.releng:maven-parent-osgi,${c8tech.scm.url},,,,,,True,,,
be.yildiz-games:common-native,https://bitbucket.org/yildiz-engine-team/common-native,,,,,,True,,,
ai.nextbillion:data-collection-api,https://src.nextbillion.io/mobile/nb-asset-tracking-android,,,,,,True,,,
br.com.ingenieux.cedarhero:heroku-maven-plugin,scm:hg:http://bitbucket.org/ingenieux/cedarhero,,,,,,True,,,
br.com.perolasoftware.framework:framework-facade-impl,http://git.code.sf.net/p/perolajavafw/code,,,,,,True,,,
be.uantwerpen.adrem:fim-model,https://gitlab.com/adrem/fim-model.git,,,,,,True,,,
br.com.retta.framework-android:framework-android,https://gitlab.retta.com.br/retta/framework-android,,,,,,True,,,
berlin.yuna:version-endpoint,${git-project.url}.git,,,,,,True,,,
app.pivo:lightsdk,https://gitlab.com/nAndroid/light-sdk-android,,,,,,True,,,
at.newmedialab.ldpath:ldpath-parent,https://code.google.com/p/ldpath/,,,,,,True,,,
be.yildiz-games:module-graphic,https://bitbucket.org/yildiz-engine-team/module-graphic,,,,,,True,,,
abbot:abbot,http://sourceforge.net/p/abbot/svn/HEAD/tree/abbot/trunk/,,,,,,True,,,
br.com.perolasoftware.framework:perola-framework,http://sourceforge.net/p/perolajavafw/code/ci/master/tree/03-Implementacao/${project.artifactId},,,,,,True,,,
be.personify.iam:personify-provisioning,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
ai.nextbillion:nb-gestures-android,https://src.nextbillion.io/mobile/nb-gestures-android,,,,,,True,,,
be.personify.iam:personify-api,https://bitbucket.org/wouter29/?visibility=public,,,,,,True,,,
barsuift.simLife:barsuift-simlife,http://code.google.com/p/barsuift-simlife/source/browse/#svn/tags/barsuift-simlife-0.0.5,,,,,,True,,,
ai.nextbillion:data-collection-mmkv-lib,https://src.nextbillion.io/mobile/nb-asset-tracking-android,,,,,,True,,,
at.bestsolution.eclipse:org.eclipse.equinox.common,http://git.eclipse.org/c/equinox/rt.equinox.bundles.git/tree/bundles/org.eclipse.equinox.common,,,,,,True,,,
br.com.objectos.oss-java11:objectos,https://www.objectos.com.br/kdo/,,,,,,True,,,
biz.massive-dynamics:Modger,http://bazaar.launchpad.net/~massivedynamics/modger,,,,,,True,,,
be.yildiz-games:feature-mission-shared,https://bitbucket.org/yildiz-engine-team/feature-mission-shared,,,,,,True,,,
br.com.objectos.oss-java6:objectos,https://www.objectos.com.br/kdo/,,,,,,True,,,
biz.massive-dynamics:Sourcery,http://bazaar.launchpad.net/~massivedynamics/sourcery,,,,,,True,,,
br.com.anteros:anteros-ui-controls-android,http://www.anteros.com.br,,,,,,True,,,
br.com.anteros:anteros-security-android,http://www.anteros.com.br,,,,,,True,,,
bd.com.shurjomukhi:sp-plugin-java,${github.url},,,,,,True,,,
bd.com.shurjopay.plugin:sp-plugin-java,${github.url}/spring-multitenancy,,,,,,True,,,
be.yildiz-games:component-native-png,https://bitbucket.org/yildiz-engine-team/component-native-png,,,,,,True,,,
app.pivo.android:micsdk,https://gitlab.com/nextaeonlabs/pivo_headset_test_app_android.git,,,,,,True,,,
br.com.behaviortest:behavior-test-api,https://svn.apache.org/viewvc/maven,,,,,,True,,,
