full_name,github_owner,github_repo,data_class,combined_name,group_id,artifact_id,cve_id,severity,cve_patched,cve_publish_date,cve_duration,start_version,start_version_timestamp,start_version_date,end_version,end_version_timestamp,end_version_date,patched_version,patched_version_timestamp,patched_version_date,latest_version,api_id,api_aliases,scm_url,github_url,github_api_url,patched_release_id
sbt/io,sbt,io,0,org.scala-sbt:io_2.13,org.scala-sbt,io_2.13,CVE-2023-46122,LOW,True,2023-10-24T01:51:04Z,-111259000,1.3.0-M11,1561416958000,2019-06-24,1.9.1,1687733135000,2023-06-25,1.9.7,1698001005000.0,2023-10-22,1.10.0,GHSA-h9mw-grgx-2fhf,CVE-2023-46122,https://github.com/sbt/io,https://github.com/sbt/io,https://api.github.com/repos/sbt/io,org.scala-sbt:io_2.13:1.9.7
combust/mleap,combust,mleap,0,ml.combust.mleap:mleap-runtime_2.12,ml.combust.mleap,mleap-runtime_2.12,CVE-2023-5245,HIGH,True,2023-11-15T15:30:21Z,-81777000,0.14.0,1561189015000,2019-06-22,0.23.0,1687556293000,2023-06-23,0.23.1,1699980444000.0,2023-11-14,0.23.1,GHSA-897x-xvj8-42rq,CVE-2023-5245,https://github.com/combust/mleap.git,https://github.com/combust/mleap,https://api.github.com/repos/combust/mleap,ml.combust.mleap:mleap-runtime_2.12:0.23.1
Netflix/genie,Netflix,genie,0,com.netflix.genie:genie-web,com.netflix.genie,genie-web,CVE-2024-4701,CRITICAL,True,2024-05-09T21:35:23Z,-3506000,0.20,1371844785000,2013-06-21,4.3.17,1715113799000,2024-05-07,4.3.18,1715287017000.0,2024-05-09,4.3.19,GHSA-wpcv-5jgp-69f3,CVE-2024-4701,scm:git:git@github.com:Netflix/genie.git,https://github.com/Netflix/genie,https://api.github.com/repos/Netflix/genie,com.netflix.genie:genie-web:4.3.18
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-oauth2-jose,org.springframework.security,spring-security-oauth2-jose,CVE-2018-15801,HIGH,True,2018-12-20T22:01:31Z,-5708602000,5.1.0.RELEASE,1537537554000,2018-09-21,5.1.1.RELEASE,1539632722000,2018-10-15,5.0.9.RELEASE,1539634689000.0,2018-10-15,6.3.3,GHSA-27xw-p8v6-9jjr,CVE-2018-15801,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-oauth2-jose:5.0.9.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2018-15801,HIGH,True,2018-12-20T22:01:31Z,-5708726000,5.1.0.RELEASE,1537537426000,2018-09-21,5.1.1.RELEASE,1539632482000,2018-10-15,5.0.9.RELEASE,1539634565000.0,2018-10-15,6.3.3,GHSA-27xw-p8v6-9jjr,CVE-2018-15801,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.0.9.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2018-1199,MODERATE,True,2018-10-17T20:01:54Z,-57367900000,4.1.0.RELEASE,1462446729000,2016-05-05,5.0.0.RELEASE,1511813286000,2017-11-27,3.2.10.RELEASE,1482438614000.0,2016-12-22,6.3.3,GHSA-v596-fwhq-8x48,CVE-2018-1199,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:3.2.10.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2019-3795,MODERATE,True,2019-04-16T15:10:59Z,-73086842000,4.2.0.RELEASE,1478741467000,2016-11-09,5.1.4.RELEASE,1550080442000,2019-02-13,4.1.4.RELEASE,1482340617000.0,2016-12-21,6.3.3,GHSA-v2r2-7qm7-jj6v,CVE-2019-3795,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:4.1.4.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2017-4995,HIGH,True,2022-05-13T01:02:16Z,-170063119000,4.2.0.RELEASE,1478741467000,2016-11-09,4.2.2.RELEASE,1488440253000,2017-03-02,4.1.4.RELEASE,1482340617000.0,2016-12-21,6.3.3,GHSA-vhrg-v3cv-p247,CVE-2017-4995,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:4.1.4.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2021-22119,HIGH,True,2021-07-02T18:33:34Z,-52352481000,5.2.0.RELEASE,1569879007000,2019-09-30,5.5.0,1621314784000,2021-05-17,5.1.7.RELEASE,1572898333000.0,2019-11-04,6.3.3,GHSA-w9jg-gvgr-354m,CVE-2021-22119,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.1.7.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2020-5407,HIGH,True,2020-06-05T16:13:29Z,-18475276000,5.2.0.RELEASE,1569879007000,2019-09-30,5.2.3.RELEASE,1585760898000,2020-04-01,5.1.7.RELEASE,1572898333000.0,2019-11-04,6.3.3,GHSA-48rw-j489-928m,CVE-2020-5407,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.1.7.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2022-31692,CRITICAL,True,2022-11-01T12:00:37Z,-27300028000,5.6.0,1636995336000,2021-11-15,5.7.4,1666034544000,2022-10-17,5.2.14.RELEASE,1640004009000.0,2021-12-20,6.3.3,GHSA-mmmh-wcxm-2wr4,CVE-2022-31692,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.2.14.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2022-22976,MODERATE,True,2022-05-20T00:00:38Z,-80106505000,5.2.0.RELEASE,1569879007000,2019-09-30,5.4.11,1679336895000,2023-03-20,5.1.7.RELEASE,1572898333000.0,2019-11-04,6.3.3,GHSA-wx54-3278-m5g4,CVE-2022-22976,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.1.7.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2023-20862,MODERATE,True,2023-04-19T21:30:26Z,-29218250000,5.7.0,1652720778000,2022-05-16,5.7.7,1676992010000,2023-02-21,5.6.4,1652721576000.0,2022-05-16,6.3.3,GHSA-x873-6rgc-94jc,CVE-2023-20862,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.6.4
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2024-22234,HIGH,True,2024-02-20T09:30:30Z,-21231754000,6.1.0,1684165328000,2023-05-15,6.1.6,1702918808000,2023-12-18,5.8.4,1687189676000.0,2023-06-19,6.3.3,GHSA-w3w6-26f2-p474,CVE-2024-22234,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.8.4
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-core,org.springframework.security,spring-security-core,CVE-2024-38810,MODERATE,True,2024-08-20T06:31:36Z,-5496419000,6.3.0,1716222455000,2024-05-20,6.3.1,1718641051000,2024-06-17,5.8.13,1718639077000.0,2024-06-17,6.3.3,GHSA-hmqf-wpq9-jq83,CVE-2024-38810,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-core:5.8.13
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-oauth2-client,org.springframework.security,spring-security-oauth2-client,CVE-2022-31690,HIGH,True,2022-11-01T12:00:37Z,-72059000,5.0.0.RELEASE,1511813389000,2017-11-27,5.4.11,1679336924000,2023-03-20,5.6.9,1667231978000.0,2022-10-31,6.3.3,GHSA-32vj-v39g-jh23,CVE-2022-31690,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-oauth2-client:5.6.9
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-oauth2-client,org.springframework.security,spring-security-oauth2-client,CVE-2021-22119,HIGH,True,2021-07-02T18:33:34Z,-52352401000,5.2.0.RELEASE,1569879165000,2019-09-30,5.5.0,1621314785000,2021-05-17,5.1.7.RELEASE,1572898413000.0,2019-11-04,6.3.3,GHSA-w9jg-gvgr-354m,CVE-2021-22119,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-oauth2-client:5.1.7.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-config,org.springframework.security,spring-security-config,CVE-2023-34035,HIGH,True,2023-07-18T18:30:36Z,-18240331000,6.0.0,1669045363000,2022-11-21,6.0.4,1687191108000,2023-06-19,5.7.6,1671464705000.0,2022-12-19,6.3.3,GHSA-4vpr-xfrp-cj64,CVE-2023-34035,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-config:5.7.6
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-config,org.springframework.security,spring-security-config,CVE-2023-34034,CRITICAL,True,2023-07-19T15:30:26Z,-49776629000,5.6.0,1636995344000,2021-11-15,5.6.11,1687193181000,2023-06-19,5.2.14.RELEASE,1640003997000.0,2021-12-20,6.3.3,GHSA-3h6f-g5f3-gc4w,CVE-2023-34034,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-config:5.2.14.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-config,org.springframework.security,spring-security-config,CVE-2023-34042,MODERATE,True,2024-02-06T00:30:25Z,-19986244000,6.1.1,1687189252000,2023-06-19,6.1.3,1692641330000,2023-08-21,5.6.11,1687193181000.0,2023-06-19,6.3.3,GHSA-9gp8-6cg8-7h34,CVE-2023-34042,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-config:5.6.11
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-bom,org.springframework.security,spring-security-bom,CVE-2021-22112,HIGH,True,2021-05-10T15:22:39Z,-7594229000,3.2.0.RELEASE,1387222464000,2013-12-16,5.4.3,1613088611000,2021-02-11,5.2.9.RELEASE,1613065930000.0,2021-02-11,6.3.3,GHSA-gq28-h5vg-8prx,CVE-2021-22112,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-bom:5.2.9.RELEASE
spring-projects/spring-security,spring-projects,spring-security,0,org.springframework.security:spring-security-oauth2-authorization-server,org.springframework.security,spring-security-oauth2-authorization-server,CVE-2024-22258,MODERATE,True,2024-03-20T15:32:28Z,-86858000,0.2.0,1629333875000,2021-08-18,1.1.5,1708442582000,2024-02-20,1.2.3,1710861890000.0,2024-03-19,1.2.6,GHSA-x637-x8p3-5p22,CVE-2024-22258,https://github.com/spring-projects/spring-security,https://github.com/spring-projects/spring-security,https://api.github.com/repos/spring-projects/spring-security,org.springframework.security:spring-security-oauth2-authorization-server:1.2.3
twbs/bootstrap,twbs,bootstrap,0,org.webjars.npm:bootstrap,org.webjars.npm,bootstrap,CVE-2024-6531,MODERATE,True,2024-07-11T18:31:14Z,-175966741000,4.0.0,1516304183000,2018-01-18,4.6.2,1658392228000,2022-07-21,3.4.0,1544755933000.0,2018-12-13,5.3.3,GHSA-vc8w-jr9v-vj7f,CVE-2024-6531,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap,https://api.github.com/repos/twbs/bootstrap,org.webjars.npm:bootstrap:3.4.0
twbs/bootstrap,twbs,bootstrap,0,org.webjars.npm:bootstrap,org.webjars.npm,bootstrap,CVE-2024-6484,MODERATE,True,2024-07-11T18:31:14Z,-271068232000,3.3.5,1434651815000,2015-06-18,3.4.1,1550231539000,2019-02-15,4.0.0-alpha.2,1449654442000.0,2015-12-09,5.3.3,GHSA-9mvj-f7w8-pvh2,CVE-2024-6484,https://github.com/twbs/bootstrap,https://github.com/twbs/bootstrap,https://api.github.com/repos/twbs/bootstrap,org.webjars.npm:bootstrap:4.0.0-alpha.2
spring-cloud/spring-cloud-gateway,spring-cloud,spring-cloud-gateway,0,org.springframework.cloud:spring-cloud-gateway,org.springframework.cloud,spring-cloud-gateway,CVE-2021-22051,MODERATE,True,2021-11-10T19:45:02Z,-56065202000,2.2.0.RELEASE,1574763953000,2019-11-26,2.2.10.RELEASE,1635968777000,2021-11-03,2.1.5.RELEASE,1580508300000.0,2020-01-31,4.1.5,GHSA-2r2v-q399-qq93,CVE-2021-22051,https://github.com/spring-cloud/spring-cloud-gateway,https://github.com/spring-cloud/spring-cloud-gateway,https://api.github.com/repos/spring-cloud/spring-cloud-gateway,org.springframework.cloud:spring-cloud-gateway:2.1.5.RELEASE
grpc/grpc-java,grpc,grpc-java,0,io.grpc:grpc-protobuf,io.grpc,grpc-protobuf,CVE-2023-32732,MODERATE,True,2023-07-06T21:15:08Z,-12704885000,0.7.0,1432684712000,2015-05-26,1.50.3,1681253010000,2023-04-11,1.53.0,1675973223000.0,2023-02-09,1.66.0,GHSA-9hxf-ppjv-w6rq,CVE-2023-32732,https://github.com/grpc/grpc-java,https://github.com/grpc/grpc-java,https://api.github.com/repos/grpc/grpc-java,io.grpc:grpc-protobuf:1.53.0
grpc/grpc-java,grpc,grpc-java,0,io.grpc:grpc-protobuf,io.grpc,grpc-protobuf,CVE-2023-32731,HIGH,True,2023-07-05T19:12:51Z,-12611148000,0.7.0,1432684712000,2015-05-26,1.50.3,1681253010000,2023-04-11,1.53.0,1675973223000.0,2023-02-09,1.66.0,GHSA-cfgp-2977-2fmm,CVE-2023-32731,https://github.com/grpc/grpc-java,https://github.com/grpc/grpc-java,https://api.github.com/repos/grpc/grpc-java,io.grpc:grpc-protobuf:1.53.0
grpc/grpc-java,grpc,grpc-java,0,io.grpc:grpc-protobuf,io.grpc,grpc-protobuf,CVE-2023-1428,HIGH,True,2023-07-06T21:15:08Z,-12704885000,0.7.0,1432684712000,2015-05-26,1.50.3,1681253010000,2023-04-11,1.53.0,1675973223000.0,2023-02-09,1.66.0,GHSA-6628-q6j9-w8vg,CVE-2023-1428,https://github.com/grpc/grpc-java,https://github.com/grpc/grpc-java,https://api.github.com/repos/grpc/grpc-java,io.grpc:grpc-protobuf:1.53.0
opensearch-project/security,opensearch-project,security,0,org.opensearch.plugin:opensearch-security,org.opensearch.plugin,opensearch-security,CVE-2023-31141,MODERATE,True,2023-05-09T21:25:06Z,-599674000,2.1.0.0,1657144228000,2022-07-06,2.6.0.0,1677620256000,2023-02-28,2.7.0.0,1683067832000.0,2023-05-02,2.16.0.0,GHSA-g8xc-6mf7-h28h,CVE-2023-31141,https://github.com/opensearch-project/security.git,https://github.com/opensearch-project/security,https://api.github.com/repos/opensearch-project/security,org.opensearch.plugin:opensearch-security:2.7.0.0
opensearch-project/security,opensearch-project,security,1,org.opensearch.plugin:opensearch-security,org.opensearch.plugin,opensearch-security,CVE-2022-35980,HIGH,True,2022-08-12T17:31:58Z,10983000,2.1.0.0,1657144228000,2022-07-06,2.1.0.0,1657144228000,2022-07-06,2.2.0.0,1660336501000.0,2022-08-12,2.16.0.0,GHSA-f4qr-f4xx-hjxw,CVE-2022-35980,https://github.com/opensearch-project/security.git,https://github.com/opensearch-project/security,https://api.github.com/repos/opensearch-project/security,org.opensearch.plugin:opensearch-security:2.2.0.0
opensearch-project/security,opensearch-project,security,0,org.opensearch.plugin:opensearch-security,org.opensearch.plugin,opensearch-security,CVE-2022-41918,MODERATE,True,2023-03-07T20:04:42Z,-9667891000,2.1.0.0,1657144228000,2022-07-06,2.3.0.0,1663121002000,2022-09-13,2.4.0.0,1668551591000.0,2022-11-15,2.16.0.0,GHSA-wmx7-x4jp-9jgg,CVE-2022-41918,https://github.com/opensearch-project/security.git,https://github.com/opensearch-project/security,https://api.github.com/repos/opensearch-project/security,org.opensearch.plugin:opensearch-security:2.4.0.0
opensearch-project/security,opensearch-project,security,0,org.opensearch.plugin:opensearch-security,org.opensearch.plugin,opensearch-security,CVE-2023-25806,MODERATE,True,2023-03-07T17:38:38Z,-590462000,2.1.0.0,1657144228000,2022-07-06,2.5.0.0,1674592246000,2023-01-24,2.6.0.0,1677620256000.0,2023-02-28,2.16.0.0,GHSA-c6wg-cm5x-rqvj,CVE-2023-25806,https://github.com/opensearch-project/security.git,https://github.com/opensearch-project/security,https://api.github.com/repos/opensearch-project/security,org.opensearch.plugin:opensearch-security:2.6.0.0
opensearch-project/security,opensearch-project,security,0,org.opensearch.plugin:opensearch-security,org.opensearch.plugin,opensearch-security,CVE-2023-45807,MODERATE,True,2023-10-17T14:25:36Z,-67474000,2.1.0.0,1657144228000,2022-07-06,2.10.0.0,1695679054000,2023-09-25,2.11.0.0,1697485262000.0,2023-10-16,2.16.0.0,GHSA-72q2-gwwf-6hrv,CVE-2023-45807,https://github.com/opensearch-project/security.git,https://github.com/opensearch-project/security,https://api.github.com/repos/opensearch-project/security,org.opensearch.plugin:opensearch-security:2.11.0.0
elastic/elasticsearch,elastic,elasticsearch,0,org.elasticsearch:elasticsearch,org.elasticsearch,elasticsearch,CVE-2018-3831,HIGH,True,2022-05-13T01:27:27Z,-147601480000,5.6.0,1504757518000,2017-09-06,6.4.0,1534554750000,2018-08-17,5.5.3,1504803767000.0,2017-09-07,8.15.0,GHSA-r9fv-qpm9-rj4g,CVE-2018-3831,git@github.com:elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,https://api.github.com/repos/elastic/elasticsearch,org.elasticsearch:elasticsearch:5.5.3
elastic/elasticsearch,elastic,elasticsearch,0,org.elasticsearch:elasticsearch,org.elasticsearch,elasticsearch,BIT-elasticsearch-2020-7014,MODERATE,True,2021-03-18T19:27:20Z,-62802672000,6.7.0,1553189445000,2019-03-21,6.8.7,1583266330000,2020-03-03,7.0.0-rc1,1553292968000.0,2019-03-22,8.15.0,GHSA-hqqv-9x3v-mp7w,"BIT-elasticsearch-2020-7014, CVE-2020-7014",git@github.com:elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,https://api.github.com/repos/elastic/elasticsearch,org.elasticsearch:elasticsearch:7.0.0-rc1
elastic/elasticsearch,elastic,elasticsearch,0,org.elasticsearch:elasticsearch,org.elasticsearch,elasticsearch,CVE-2018-17247,MODERATE,True,2022-05-13T01:34:04Z,-110289379000,6.5.0,1541794597000,2018-11-09,6.5.1,1542339696000,2018-11-15,7.0.0-alpha1,1542116265000.0,2018-11-13,8.15.0,GHSA-ccmr-qj26-845g,CVE-2018-17247,git@github.com:elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,https://api.github.com/repos/elastic/elasticsearch,org.elasticsearch:elasticsearch:7.0.0-alpha1
elastic/elasticsearch,elastic,elasticsearch,0,org.elasticsearch:elasticsearch,org.elasticsearch,elasticsearch,CVE-2018-17244,MODERATE,True,2022-05-13T01:34:04Z,-115092676000,6.4.0,1534554750000,2018-08-17,6.4.2,1537974601000,2018-09-26,5.6.12,1537312968000.0,2018-09-18,8.15.0,GHSA-vpqm-88c4-x4cv,CVE-2018-17244,git@github.com:elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,https://api.github.com/repos/elastic/elasticsearch,org.elasticsearch:elasticsearch:5.6.12
elastic/elasticsearch,elastic,elasticsearch,0,org.elasticsearch:elasticsearch,org.elasticsearch,elasticsearch,CVE-2019-7619,MODERATE,True,2022-05-24T17:00:08Z,-100118640000,6.7.0,1553189445000,2019-03-21,7.3.2,1567790800000,2019-09-06,7.0.0-rc1,1553292968000.0,2019-03-22,8.15.0,GHSA-hxp8-r9g3-grfr,CVE-2019-7619,git@github.com:elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,https://api.github.com/repos/elastic/elasticsearch,org.elasticsearch:elasticsearch:7.0.0-rc1
elastic/elasticsearch,elastic,elasticsearch,0,org.elasticsearch:elasticsearch,org.elasticsearch,elasticsearch,BIT-elasticsearch-2020-7009,HIGH,True,2022-05-24T17:13:01Z,-100119413000,6.7.0,1553189445000,2019-03-21,6.8.7,1583266330000,2020-03-03,7.0.0-rc1,1553292968000.0,2019-03-22,8.15.0,GHSA-gfv5-grx2-9jw2,"BIT-elasticsearch-2020-7009, CVE-2020-7009",git@github.com:elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,https://api.github.com/repos/elastic/elasticsearch,org.elasticsearch:elasticsearch:7.0.0-rc1
